Identifier,log(I),rI,log(e),pI,Mr (kDa),Description
sp|K22E_HUMAN|,3.97,10,-66.3,8.07,65.8," Keratin, type II cytoskeletal 2 epidermal; Cytokeratin-2e; CK-2e; Epithelial keratin-2e; Keratin-2 epidermis; Keratin-2e; K2e; Type-II keratin Kb2; "
XP_010041869.1,4.35,30,-65.9,6.07,29.9,
XP_010049664.1,3.83,9,-65.8,5.55,17.3,
XP_010052067.1,4.03,12,-64.9,10.45,16.3,
XP_010062974.1,3.89,11,-64.9,9.27,47.7,
XP_010055986.1,3.87,8,-62.8,5.07,73.5,
XP_010035998.1,4.06,19,-62.2,9.3,11.7,
XP_010036097.1,3.98,14,-61.6,8.67,29.2,
XP_010066154.1,4.3,17,-60.6,7.81,16.8,
XP_010069596.1,4.14,15,-60.1,4.65,16.5,
XP_018727808.1,3.82,7,-59.7,8.52,24.2,
XP_010064085.1,3.95,11,-59.2,5.82,42.2,
XP_010055093.1,4.03,11,-59,6.7,51.7,
XP_018727810.1,3.87,8,-58.6,8.26,24.2,
XP_010031829.1,3.94,11,-58,8.25,39.4,
XP_010034921.1,3.63,7,-57.9,9.52,22.1,
XP_010066729.1,3.93,9,-57.6,5.93,102.2,
XP_010058569.1,4.01,11,-57,9.82,22.9,
ADO23578.1,4.16,17,-57,5.15,55.5,no description available
XP_010029197.1,3.83,9,-56.4,6.98,32.8,
XP_010037701.1,3.87,9,-56.3,5.48,30.9,
XP_010062928.1,3.73,5,-56,6.09,21.9,
XP_010035997.1,3.96,13,-55.5,9.04,11.8,
XP_010024863.1,4.29,15,-55.4,5.59,42.9,
XP_010043791.1,3.94,9,-55.1,5.16,61.2,
XP_010036822.1,4.1,15,-54.8,8.56,29.6,
XP_010056136.1,4.02,12,-53.8,8.89,43.8,
XP_010065833.1,3.93,11,-53.3,8.75,18.5,
XP_010030961.1,3.85,9,-52.2,6.13,27.2,
XP_010030182.1,3.77,9,-52.2,5.45,76,
XP_010045313.1,3.74,8,-52.2,9.56,21.9,
XP_010032296.1,3.58,6,-51.6,8.76,21.4,
XP_010030046.1,3.77,7,-51.6,9.07,32.4,
XP_010053958.1,3.95,10,-51.6,10.45,16.3,
ADO23598.1,3.92,10,-51.5,6.04,52.7,no description available
XP_010049816.1,3.95,9,-50.8,8.05,38.4,
XP_010067614.1,4.12,13,-50.7,5.22,23.2,
XP_010067877.1,3.69,6,-50.6,9.79,42.3,
XP_018727337.1,3.75,8,-50.1,5.36,24,
XP_010052791.1,4.03,13,-49.9,6.84,16.2,
XP_010040969.1,3.87,9,-49.7,8.75,18.5,
XP_010055402.1,3.93,9,-49.6,5.56,35.2,
XP_010061512.1,3.64,5,-48.1,4.78,28.3,
XP_010032010.1,3.79,7,-48.1,6.93,92,
XP_010063287.1,4.09,18,-47.1,4.96,17,
XP_010032064.1,3.71,6,-47,9.74,22,
XP_010059918.1,3.82,7,-46.6,5.7,82,
XP_018730521.1,3.75,6,-46,6.01,34.1,
XP_010033373.1,3.95,9,-45.8,8.03,30.9,
XP_010028715.1,3.71,6,-45.8,8.76,81.2,
ADO23586.1,3.87,10,-45,5.33,39.5,no description available
XP_010028049.1,3.59,6,-44.7,6.16,33.6,
XP_010043801.1,3.98,11,-44.4,5,16.9,
XP_010061201.1,3.99,10,-44.4,7.09,48.2,
XP_010057920.1,3.66,4,-44,6.12,40.8,
XP_010056893.1,3.79,6,-43.8,6.75,16.9,
XP_010068510.2,4.11,10,-42.8,6.55,22.5,
XP_010036551.1,3.81,7,-42.8,5.93,33.9,
XP_010067858.1,3.94,9,-42.8,9.07,39.6,
XP_010057805.1,3.74,9,-42.6,7.2,40,
XP_010067610.1,3.73,9,-42.6,10.94,14.9,
XP_010069833.1,3.65,4,-42,7.7,32.5,
XP_010069895.1,3.76,6,-41.3,8.98,56.6,
XP_010041734.2,3.73,7,-41,10,10.3,
XP_010035120.1,3.59,5,-40.9,4.58,23.8,
ADO23579.1,3.8,7,-40.5,6.84,20.8,no description available
XP_010070108.1,3.9,7,-40.2,8.8,46.9,
XP_010040050.1,3.54,5,-39.7,8.29,34.6,
XP_018732862.1,3.7,7,-39.7,7.72,20.4,
XP_010062840.1,3.7,6,-39.5,5.66,24.2,
XP_010044743.1,3.6,5,-38.5,11.6,13.7,
XP_010033826.1,3.73,6,-38.4,9.07,29,
XP_010053128.1,3.82,8,-38.3,9.09,68.9,
XP_010035773.1,3.67,5,-38.2,9.82,41.4,
XP_010058177.1,3.62,6,-38,5.46,33.8,
XP_010033825.1,3.89,9,-37.6,9,29.5,
KCW57288.1,3.84,10,-37.6,8.52,41.6,
XP_010065001.1,3.59,8,-37.5,6.19,28.1,
XP_010063827.1,3.98,9,-37.3,10.56,17.6,
XP_010055432.1,3.6,5,-36.8,5.91,22.6,
XP_010025879.1,3.84,6,-36.8,4.67,29.3,
XP_010035290.1,3.62,4,-36.3,8.62,25.5,
XP_010062829.1,3.59,5,-36.2,5.51,24.1,
XP_010029105.1,3.75,5,-36.2,8.45,25.3,
XP_010067511.1,3.49,5,-36.1,5.04,34.3,
XP_010025126.1,3.97,9,-36.1,10.28,14.9,
XP_010028998.1,3.8,7,-36.1,5.97,22.4,
XP_010036726.1,4,9,-35.8,6.56,38.5,
XP_010056276.1,3.8,8,-35.6,5.46,43,
XP_010048243.1,3.73,7,-35.4,7.52,40.1,
XP_010057419.1,3.99,9,-35.4,10.56,17.6,
XP_010024143.1,3.62,5,-35.4,6.19,18.3,
XP_010031610.1,3.71,6,-35.4,8.79,69,
XP_010047405.1,3.8,6,-35.3,7.61,24.1,
ADO23602.1,3.84,8,-35.2,8.65,35.2,no description available
XP_010061927.1,3.86,7,-35.1,5.47,14.3,
XP_010035193.1,3.81,5,-34.8,5.55,32,
XP_010027978.1,3.75,7,-34.7,8.77,57.1,
KCW45190.1,3.71,6,-34.6,6.52,22.2,
XP_010068989.1,3.42,5,-34.3,9.07,22.6,
XP_010032777.1,3.44,5,-34.2,8.52,33.6,
XP_010029606.1,3.52,4,-33.9,9.08,29.6,
XP_018732157.1,3.47,4,-33.7,4.89,24.6,
XP_010034049.1,3.86,5,-33.4,6.55,52,
XP_010043319.1,3.63,5,-33,5.19,39.9,
XP_010066900.1,3.71,7,-33,9.16,26.1,
XP_010032624.1,3.86,7,-32.9,4.76,29.7,
XP_010029741.1,3.73,5,-32.9,9.44,36.7,
XP_010052685.1,3.72,6,-32.6,10.84,29.9,
XP_010032251.1,3.62,5,-32.6,6.86,35.2,
XP_010037503.1,3.81,7,-32.2,6.12,53.3,
XP_010037015.1,3.52,3,-32.1,5.56,19.7,
XP_010066265.1,3.64,4,-32.1,6.29,18.8,
XP_010052458.1,3.74,8,-32.1,9.66,24.6,
XP_018729627.1,3.61,5,-32,9.49,30.4,
XP_010030204.1,3.69,5,-32,6.21,23.8,
XP_018720581.1,3.81,5,-31.8,6.41,101.9,
XP_010031003.1,3.82,6,-31.7,5.92,16,
XP_010067894.1,3.65,4,-31.7,10.21,25.3,
XP_010044646.1,3.65,5,-31.4,6.88,59,
XP_010067434.1,3.51,3,-31.3,5.43,22.7,
XP_010042470.1,3.72,7,-31,8.95,20.1,
XP_010049847.1,3.49,4,-31,8.22,51,
XP_010035882.1,3.66,5,-30.7,5.56,24.1,
KCW51659.1,3.55,5,-30.5,5.15,26.9,
XP_010037221.1,3.69,6,-30.4,10.39,16.1,
XP_010053832.1,3.75,6,-30.4,9.33,51.6,
XP_018732194.1,3.51,4,-29.5,5.91,27.2,
XP_010060093.1,3.92,10,-29.4,6.78,46.4,
XP_010031766.1,3.69,5,-28.8,4.98,22.5,
XP_010053434.1,3.64,5,-28.7,5.95,31.2,
KCW90685.1,3.52,5,-28.6,11.66,17.1,
XP_010048762.1,3.7,5,-28.5,5.3,15.4,
XP_018715447.1,3.7,5,-28.3,8.87,23.3,
XP_010030561.1,3.55,5,-28.3,10.2,16,
XP_010043043.1,3.48,4,-28.2,11.14,21,
XP_010029385.1,3.83,5,-28.2,5.07,24.4,
XP_018729774.1,3.39,4,-28.1,9.16,27.3,
XP_010025008.1,3.56,5,-28,10.37,17,
XP_010027974.1,3.8,7,-28,7.66,80.1,
XP_010035552.1,3.56,4,-27.9,7.83,31.1,
XP_010032225.1,3.74,6,-27.8,9.14,49.3,
XP_010069118.1,3.59,4,-27.8,10.41,15.5,
XP_010053589.1,4.02,9,-27.7,5.04,17.3,
XP_010061765.1,3.35,3,-27.7,6,36.5,
XP_010036200.1,3.72,6,-27.5,8.56,27.6,
XP_010059179.1,3.64,5,-27.5,9.18,52.8,
XP_018718395.1,3.68,8,-27.1,6.52,29.3,
XP_018732593.1,3.56,3,-26.9,7.02,39.8,
XP_010058011.1,3.51,4,-26.8,8.72,48.8,
XP_018718908.1,3.65,4,-26.6,9.87,19.5,
XP_010035593.1,3.53,4,-26.6,9.32,46.2,
XP_018732057.1,3.78,6,-26.5,8.78,71.4,
ADO23587.1,3.82,9,-26.5,6.68,51.8,no description available
XP_010055859.1,3.47,5,-26.5,7.15,67.4,
XP_010032055.1,3.7,5,-26.4,6.08,27.3,
XP_010067278.1,3.78,6,-26.3,9.15,49.3,
XP_010069156.1,3.57,5,-25.9,10.44,17.2,
XP_010031688.1,3.59,6,-25.8,5.87,11.2,
XP_010044926.1,3.39,3,-25.6,5.59,64.4,
XP_010069674.1,3.4,3,-25.6,4.32,11.3,
XP_018733199.1,3.47,4,-25.4,9.13,17,
XP_010031001.1,3.65,5,-25.4,5.92,16.1,
XP_010054042.1,3.86,6,-25.3,11,23.6,
XP_010028435.1,3.64,5,-25.3,10.34,16.4,
XP_010066927.1,3.7,6,-25.1,10.45,17.2,
XP_010059854.1,3.58,4,-25,6.11,80.3,
XP_018730768.1,3.64,5,-24.4,6.18,71.5,
XP_010025297.1,3.63,4,-24.4,5.66,13.5,
XP_010031113.1,3.53,4,-24.3,9.01,35.3,
XP_010036201.1,3.51,4,-24.3,8.23,28.1,
XP_010052537.1,3.47,3,-24.2,9.39,42.6,
XP_010032196.1,3.41,3,-24.1,9.07,30.4,
XP_010033801.1,3.49,4,-24,10.54,16.7,
XP_010067582.1,3.74,6,-23.6,9.49,34.5,
XP_010037863.1,3.71,7,-23.5,10.58,15.8,
XP_010046973.1,3.47,5,-23.3,4.75,54.2,
XP_010061685.1,3.48,4,-23.3,8.46,27.7,
XP_010057074.1,3.29,3,-23.2,9.01,42.2,
KCW66115.1,3.5,4,-23.2,9.56,42.3,
XP_010027928.1,3.73,8,-23.1,11.15,15.4,
XP_018715701.1,3.7,4,-23.1,5.61,39.9,
XP_010035248.1,3.37,3,-23,9.73,23.2,
XP_010033256.1,3.41,3,-22.9,8.82,36.7,
XP_010042338.1,3.64,6,-22.8,9.51,16.9,
XP_010028812.1,3.58,3,-22.7,8.67,35.7,
XP_010029949.1,3.57,3,-22.7,5.75,73.3,
XP_010032395.1,3.32,3,-22.7,10.24,25.9,
XP_018721153.1,3.46,2,-22.6,6.25,69.2,
XP_010062310.1,3.4,3,-22.6,4.85,25.4,
XP_010056208.1,3.78,6,-22.3,6.52,45.2,
XP_018732861.1,3.53,3,-22.2,6.13,63.7,
XP_018725320.1,3.6,3,-22.1,5.25,24.1,
XP_010033665.1,3.42,3,-22.1,4.92,34,
XP_010035704.1,3.29,3,-22.1,9.98,18.9,
XP_010023598.1,3.46,4,-21.9,9.23,33.3,
XP_010066951.1,3.29,3,-21.9,7.02,29.6,
XP_010052179.1,3.6,4,-21.9,10.01,20.8,
XP_018716594.1,3.42,3,-21.7,6.75,17.5,
XP_010027650.1,3.39,3,-21.5,9.01,17.9,
XP_010025062.1,3.3,3,-21.4,10.64,15.7,
XP_010043849.1,3.36,3,-21.3,8.34,25.6,
XP_018732456.1,3.34,3,-21.2,8.48,48.1,
XP_010065899.1,3.46,3,-21.1,5.27,71,
XP_010031093.1,3.54,3,-21,6.71,26.5,
XP_010052928.1,3.55,3,-21,9.69,28,
XP_010027921.1,3.74,5,-21,8.45,24.7,
XP_010062799.1,3.72,4,-20.9,8.53,36,
XP_010069607.1,3.47,3,-20.7,10.68,15.6,
XP_010028424.1,3.45,3,-20.6,7.56,71.1,
XP_010038272.1,3.59,4,-20.5,5.47,39,
XP_010028919.1,3.5,5,-20.5,9.1,9.6,
XP_010054297.1,3.5,3,-20.4,8.71,40.2,
XP_010070035.1,3.53,3,-20.3,6.13,28.1,
XP_010065640.1,3.3,3,-20.3,8.73,31.3,
XP_010031680.1,3.41,3,-20.2,4.7,23.8,
XP_010038001.1,3.69,5,-20.2,9.65,13.7,
XP_010048387.1,3.88,5,-20.2,4.32,23.9,
XP_018720848.1,3.45,3,-20.1,4.11,16.8,
XP_010028205.1,3.36,3,-20,5.01,39.5,
XP_018721419.1,3.17,2,-19.9,9.61,32.2,
XP_010038837.1,3.19,2,-19.9,8.77,26.1,
XP_010053530.1,3.19,3,-19.9,9.95,26.3,
XP_018725182.1,3.58,4,-19.8,5.14,17.2,
XP_010070606.1,3.53,5,-19.7,7.84,20.6,
XP_010033142.1,3.47,3,-19.7,8.35,26.8,
XP_010027701.1,3.31,3,-19.6,5.31,41.7,
XP_010024004.1,3.26,2,-19.5,4.43,25.3,
XP_010025256.1,3.58,5,-19.4,11.25,21,
XP_010048581.1,3.38,3,-19.3,8.82,87.2,
XP_018731449.1,3.48,3,-19.3,6.88,57.1,
XP_010069402.1,3.49,3,-19.3,6.72,38,
XP_010046513.1,3.48,4,-19.3,5.42,68.5,
XP_018728764.1,3.18,3,-19.3,8.18,28.6,
XP_018718320.1,3.52,5,-19.1,6.43,20.7,
XP_010032621.1,3.44,3,-19,9.15,58.4,
XP_010045297.1,3.72,5,-19,10.05,15.9,
XP_010069144.1,3.27,3,-18.9,9.49,18.1,
XP_018731179.1,3.46,3,-18.8,5.35,82.7,
XP_018733356.1,3.69,4,-18.8,10.24,17.5,
XP_010043320.1,3.76,8,-18.7,9.58,40.7,
XP_010023650.1,3.5,4,-18.7,6.1,53.1,
XP_018732053.1,3.6,4,-18.7,8.66,26.5,
XP_010064997.1,3.57,3,-18.5,4.23,11.5,
XP_010025116.1,3.44,2,-18.4,6.65,57.5,
XP_018724280.1,3.38,3,-18.4,8.6,56.7,
XP_018715523.1,3.17,2,-18.4,11.38,12.6,
KCW64914.1,3.65,4,-18.3,6.13,14.5,
XP_010033863.1,3.48,4,-18.3,9.95,15,
XP_010047753.1,3.24,3,-18.3,9.6,36.6,
XP_018732074.1,3.44,4,-18.3,6.91,24.8,
XP_018717197.1,3.47,5,-18.2,8.47,37.4,
ADO23624.1,3.65,5,-18,9.13,13.6,
XP_010032092.1,3.42,3,-18,4.87,12.5,
XP_010024288.1,3.49,3,-17.9,5.38,34.2,
XP_010062381.1,3.11,2,-17.9,9.55,15.8,
XP_010045004.1,3.23,4,-17.8,8.82,38.9,
XP_018715542.1,3.35,2,-17.8,9.16,17.6,
XP_010055737.1,3.45,3,-17.6,7.12,53.3,
XP_010052188.1,3.63,4,-17.6,4.87,57.4,
XP_010063491.1,3.15,2,-17.5,9.33,17.6,
XP_018727890.1,3.61,5,-17.5,6.25,34.4,
XP_010049536.1,3.71,7,-17.4,9.55,26.5,
XP_010031909.1,3.42,3,-17.4,8.58,44.8,
XP_010069685.1,3.44,4,-17.4,9.82,14.4,
XP_010067218.1,3.38,3,-17.2,6.25,23.6,
XP_010029673.1,3.57,4,-17.2,8.77,40.8,
XP_010024486.1,3.42,3,-17.2,6.12,12.1,
ADO23618.1,3.24,3,-17,8.89,24.2,no description available
XP_010035630.1,3.69,5,-17,5.78,33.9,
XP_010062012.1,3.48,3,-17,9.41,34,
XP_010046987.1,3.57,4,-16.9,8.77,29.2,
XP_010025244.1,3.47,3,-16.9,9.45,14.1,
XP_010050008.1,3.77,4,-16.8,5.5,47.9,
XP_010067290.1,3.22,2,-16.7,9.19,59.2,
XP_010044939.1,3.18,2,-16.6,9.41,31.9,
XP_010069867.1,3.42,3,-16.4,8.39,83.2,
XP_018725744.1,3.42,3,-16.4,8.86,22,
XP_018728044.1,3.59,3,-16.4,5.46,137.3,
XP_010044906.1,3.63,4,-16.4,10.33,18.7,
XP_010063266.1,3.26,2,-16.3,6.8,44,
XP_010037684.1,3.57,4,-16.3,10.28,29.9,
XP_010062720.1,3.81,8,-16.3,5.93,16.5,
XP_010066088.1,3.59,4,-16.2,6.64,49.8,
XP_010044576.1,3.18,3,-16.2,10.59,16.3,
XP_010054966.1,3.26,2,-16,8.66,17.9,
XP_010069657.1,3.13,2,-16,4.8,14.8,
XP_018731114.1,3.59,4,-15.9,8.99,67.7,
XP_018718784.1,3.73,4,-15.9,6.29,19.3,
XP_010065821.1,3.36,3,-15.8,6.86,33.3,
XP_010061415.1,3.67,4,-15.7,6.78,38.2,
XP_010060034.1,3.51,3,-15.5,9.01,34.4,
XP_010056173.1,3.34,2,-15.5,11.08,23.7,
XP_010036706.1,3.19,2,-15.5,9.38,24,
NP_001289662.1,3.48,4,-15.4,4.74,50.4,
XP_010041954.1,3.23,2,-15.4,5.64,15.3,
XP_010040215.1,3.62,3,-15.3,8.34,28.8,
XP_010035340.1,3.3,3,-15.3,9.63,27.3,
XP_010028338.1,3.56,4,-15.3,4.98,53.5,
XP_010043744.1,3.44,3,-15.3,4.58,64.2,
XP_010057104.1,3.77,6,-15.3,5.54,57.5,
XP_010032290.1,3.44,5,-15.2,8.9,46.6,
XP_018728580.1,3.19,3,-15.2,8.8,17.8,
XP_010030379.1,3.62,4,-15.1,5.6,17.5,
XP_018723618.1,3.48,3,-15,6.09,14.8,
XP_010032881.1,3.34,3,-15,7.92,20.9,
XP_010053519.1,3.41,3,-14.9,6.64,39.3,
XP_010059958.1,3.23,2,-14.8,5.8,27.3,
XP_010036197.1,3.52,4,-14.8,8.84,27.8,
XP_010061844.1,3.17,3,-14.7,8.7,83.7,
XP_010063104.1,3.2,3,-14.6,9.24,60,
XP_010065599.1,3.35,3,-14.5,6.75,27.4,
XP_010043250.1,3.45,3,-14.5,7.7,30.9,
XP_010046122.1,3.43,3,-14.5,8.51,41.8,
XP_010055873.1,3.53,4,-14.4,6.01,51.8,
XP_010062470.1,3.01,2,-14.2,5.23,23.2,
XP_010067818.1,3.27,2,-14.2,9.46,41.2,
KCW80951.1,3.32,3,-14,6.38,17.1,
XP_010061137.1,3.31,3,-13.9,8.74,60,
XP_010023768.1,3.37,2,-13.9,8.48,46.9,
XP_010025333.1,3.64,4,-13.8,6.25,29.4,
XP_010047476.1,3.75,6,-13.8,6.46,39.4,
XP_018728100.1,3.2,2,-13.8,6.49,39.5,
XP_010033713.2,3.33,3,-13.7,9.25,32.1,
XP_010043291.1,3.44,6,-13.7,9.4,11.8,
KCW48530.1,3.15,3,-13.6,7.47,52.8,no description available
XP_010042658.2,3.47,3,-13.6,5.37,30.8,
ADO23644.1,3.3,3,-13.3,11.28,17.4,no description available
XP_010069003.1,3.44,2,-13.2,11.63,8.3,
XP_010028097.1,3.33,4,-13.1,10.79,16.7,
XP_018715637.1,3.08,2,-13.1,9.43,33.8,
XP_010051970.1,3.37,3,-13.1,6.06,22.5,
XP_010035936.2,3.58,3,-13.1,5.37,24.4,
XP_010043743.1,3.3,2,-13.1,6.17,82.2,
XP_010029093.1,3.6,3,-13,6,43.1,
XP_010069958.1,3.28,2,-13,5.77,23.8,
XP_010031640.1,3.26,2,-13,9.61,12.3,
XP_018720922.1,3.63,4,-13,6.32,30.6,
XP_010024713.1,3.49,3,-13,9.47,14.2,
ADO23617.1,3.43,4,-13,6.03,7.7,no description available
XP_010063836.1,3.78,6,-12.9,5.28,38.4,
XP_010048936.1,3.02,2,-12.7,9.39,22.3,
XP_010023477.1,3.35,2,-12.7,6.57,53.4,
XP_010029512.1,3.19,2,-12.7,8.87,63.8,
XP_010029506.1,3.38,3,-12.7,8.96,82,
XP_010069915.1,3.51,3,-12.7,9.43,21.1,
XP_010053641.1,3.02,2,-12.6,5.1,31.2,
XP_010050030.1,3.27,2,-12.5,8.48,24.4,
XP_010069582.1,3.11,2,-12.4,9.15,18.5,
XP_010035960.1,3.48,3,-12.4,5.07,37.4,
XP_018732042.1,3.01,2,-12.3,6.78,15.7,
XP_010031780.1,3.28,3,-12.3,9.25,8.6,
XP_010069615.1,3.41,2,-12.3,6.72,16.2,
XP_010069046.1,3.21,2,-12.3,4.83,14.8,
XP_010065219.1,3.39,3,-12.2,9.28,28.4,
XP_010042699.1,3.29,3,-12,6.18,23.8,
XP_010030127.1,3.71,4,-12,4.4,15.5,
XP_010063805.1,3.11,2,-11.9,4.61,66.2,
XP_018732437.1,3.33,2,-11.9,5.16,43.9,
XP_010030053.1,3.37,3,-11.9,5.95,27.6,
XP_010037164.1,3.53,3,-11.8,10.32,23,
XP_010056284.1,3.44,2,-11.8,4.57,25.4,
XP_010043528.1,3.05,2,-11.8,5.66,15.1,
XP_018725484.1,3.32,2,-11.7,7.63,22.8,
XP_010041628.2,3.34,2,-11.7,4.42,22.5,
XP_010052299.1,3.19,2,-11.7,9.58,14.3,
XP_010046355.2,3.34,3,-11.6,5.17,19.2,
XP_010062951.1,3.66,3,-11.6,9.81,21.1,
XP_010036312.2,2.56,1,-11.5,5.97,37.2,
XP_010045714.1,3.29,2,-11.5,5.24,35.6,
XP_010040361.1,3.41,3,-11.5,6.15,22.6,
XP_010029666.1,3.44,2,-11.4,7.73,27.2,
XP_010045285.1,3.29,2,-11.2,5.07,50.6,
XP_010055036.2,3.27,2,-11.2,7.24,98,
XP_010031366.1,3.21,2,-11.2,8.04,63.5,
XP_010037170.1,3.33,2,-11.1,7.63,43.3,
XP_010040740.1,3.14,2,-11.1,8.81,21.9,
XP_010065959.1,3.07,2,-11.1,5.5,25.4,
XP_018723759.1,3.39,3,-11.1,9.54,14.6,
XP_010062581.1,3.32,2,-11,10.8,16.8,
XP_010025932.1,3.37,3,-11,5.27,31.5,
XP_018730249.1,3.4,3,-11,4.54,16.2,
XP_010033473.1,3.58,3,-10.9,10.9,28.1,
XP_018717981.1,3.34,2,-10.9,5.54,12.5,
XP_010053907.1,3.26,2,-10.9,6.29,80.2,
XP_010048630.1,3.43,3,-10.9,5.48,26.2,
XP_010038281.1,3.32,3,-10.8,6.91,22,
XP_010036387.1,3.06,2,-10.7,8.95,29.6,
XP_010055593.1,2.9,2,-10.7,6.77,62.5,
XP_010045302.1,3.55,3,-10.6,6.09,22.3,
XP_010045083.1,3.42,2,-10.6,9.54,14.3,
XP_010049454.2,3.54,3,-10.5,5.64,94.2,
XP_018721521.1,3.2,2,-10.5,8.88,43.2,
XP_010048951.1,2.88,1,-10.5,9.6,25.3,
ADO23614.1,3.21,2,-10.5,6.54,56,no description available
XP_010059895.1,3.34,2,-10.5,5.63,51.8,
XP_010024435.1,3.46,3,-10.3,5.26,25.9,
XP_010047296.1,3.24,2,-10.2,4.76,14.3,
XP_018730696.1,3.23,2,-10.2,4.63,40.5,
XP_010033127.1,3.02,1,-10.2,9.07,15.5,
ADO23623.1,3.36,3,-10.2,11.08,15.5,no description available
XP_010055689.2,2.88,2,-10.1,9.6,24.4,
XP_010052236.1,3.46,3,-10.1,9.39,18,
XP_010052216.1,2.92,2,-10.1,8.87,42.3,
XP_010025154.1,3.3,2,-10.1,7.64,32,
XP_010052710.1,3.47,2,-10,5.68,25.9,
XP_010061902.2,3.17,2,-10,9.25,54.3,
KCW57553.1,3.41,2,-10,7.45,25.9,
XP_010036880.1,2.94,2,-10,4.73,22.1,
XP_010041726.1,3.26,2,-10,8.71,35.5,
XP_010060595.1,3.43,2,-10,8.83,37.5,
XP_010028347.1,3.21,2,-10,5.27,54.7,
XP_010040844.1,3.25,3,-9.9,5.27,53,
XP_010030079.2,3.37,2,-9.8,6.71,64,
XP_010043806.1,3.06,1,-9.8,5.77,20.3,
