Identifier,log(I),rI,log(e),pI,Mr (kDa),Description
XP_010065527.1,4.09,16,-117,6.23,84.2,
KCW48473.1,4.42,39,-115.1,8.1,29.5,
XP_010056673.1,4.59,45,-112.9,8.8,37,
XP_010055403.1,4.28,22,-109.4,6.19,33.8,
XP_010053128.1,4.08,15,-108.9,9.09,68.9,
XP_010060861.1,4.14,21,-108.5,8.74,50.1,
XP_010061201.1,4.05,15,-108.4,7.09,48.2,
XP_010054791.1,4.19,20,-107.8,8.36,84.8,
XP_010070634.1,3.97,15,-107,6.76,79.7,
XP_010044150.1,4.1,18,-106.9,6,59.6,
XP_018727808.1,4.25,17,-105.5,8.52,24.2,
XP_010043318.1,4.01,14,-105.4,9.87,15,
XP_010053832.1,4.21,20,-103.6,9.33,51.6,
XP_010042031.1,4.14,19,-100.5,5.26,38.3,
XP_010059918.1,4.02,13,-97.5,5.7,82,
XP_010031610.1,4.37,21,-97.4,8.79,69,
ADO23578.1,4.18,21,-96,5.15,55.5,no description available
XP_010049664.1,4.11,18,-95.7,5.55,17.3,
XP_010063732.1,4.08,16,-95.5,5.73,30.3,
XP_010050038.1,4.16,16,-93.9,5.32,47.7,
XP_010041840.1,4.14,19,-92.1,5.86,39.4,
XP_010061816.1,4.15,17,-91.9,8.31,85.7,
XP_010055093.1,4.2,16,-91.7,6.7,51.7,
XP_010056276.1,4.34,26,-89.6,5.46,43,
XP_010035406.1,4.43,29,-88.7,5.65,43.1,
XP_010030182.1,4.1,12,-88.6,5.45,76,
XP_010056879.1,4.08,17,-88.1,5.29,28.2,
XP_010024830.1,4.11,13,-88.1,7.23,53.3,
XP_018730521.1,4.2,19,-87.2,6.01,34.1,
XP_010052095.1,4.07,17,-86.9,5.28,28,
ADO23598.1,4.36,28,-86.1,6.04,52.7,no description available
XP_010066154.1,4.33,23,-83.9,7.81,16.8,
XP_010057805.1,4.06,16,-83.8,7.2,40,
XP_010067614.1,3.97,12,-82.9,5.22,23.2,
XP_010027978.1,3.98,13,-82.7,8.77,57.1,
XP_010056136.1,4.08,16,-82.7,8.89,43.8,
XP_018727810.1,4.08,14,-82.6,8.26,24.2,
XP_010043791.1,4.04,13,-81.7,5.16,61.2,
XP_018728402.1,4.18,17,-81.4,5.29,28.2,
XP_010030977.1,3.99,13,-80.7,5.16,71.1,
XP_010025353.1,4.12,16,-77,7.02,36.6,
XP_010058011.1,3.87,10,-76.9,8.72,48.8,
XP_010024736.1,4.23,25,-76,5.49,17.4,
XP_010043319.1,3.97,10,-74.2,5.19,39.9,
XP_010033217.1,4.09,16,-73.8,8.78,29.3,
XP_010028715.1,3.92,11,-72,8.76,81.2,
XP_010066215.1,3.9,12,-71.3,8.13,42.9,
XP_010062799.1,3.99,10,-70.6,8.53,36,
XP_010046462.1,3.96,13,-70.3,5.65,68.6,
XP_010067725.1,4.03,17,-70.1,9.27,47,
XP_010028214.1,4.04,14,-69.8,9.11,55.3,
sp|TRYP_PIG|,4.51,42,-68.8,6.85,24.4, Trypsin; EC 3.4.21.4; Flags: Precursor; 
XP_010030975.1,3.91,11,-68.4,5.13,71.2,
XP_010055986.1,4.13,15,-67.1,5.07,73.5,
XP_010027701.1,3.95,12,-66.6,5.31,41.7,
XP_010036097.1,3.78,9,-66.6,8.67,29.2,
XP_010044902.1,3.88,8,-66.5,4.75,61.3,
XP_010057920.1,4.05,11,-66.1,6.12,40.8,
XP_010063287.1,4.34,28,-66.1,4.96,17,
XP_010060801.1,4.02,13,-66.1,9.24,40.7,
XP_018730768.1,3.82,9,-65.8,6.18,71.5,
XP_010031402.1,4.16,16,-65.8,6.83,42.9,
XP_010063949.1,3.84,9,-63,4.76,56.1,
KCW87019.1,3.9,8,-62.6,5.02,69.6,
XP_010067669.1,3.94,8,-62.3,4.38,21.9,
XP_010052858.1,3.86,9,-62.1,5.27,32.3,
XP_010061172.1,4.05,13,-61.5,6.88,57.2,
XP_010028648.1,3.85,11,-61.3,8.13,43,
XP_010055402.1,3.92,12,-61.3,5.56,35.2,
XP_010025879.1,3.95,10,-61.3,4.67,29.3,
XP_010066256.1,4.22,18,-60,8.7,18,
XP_010065833.1,4.03,16,-59.6,8.75,18.5,
XP_010046973.1,3.94,10,-58.5,4.75,54.2,
XP_010035998.1,3.98,14,-58.2,9.3,11.7,
XP_010066729.1,3.99,12,-58,5.93,102.2,
XP_010032777.1,3.86,9,-56,8.52,33.6,
XP_018726917.1,3.64,8,-55.7,8.89,26.8,
XP_010035120.1,4.01,10,-55.5,4.58,23.8,
XP_010067877.1,3.93,10,-55.5,9.79,42.3,
XP_010029105.1,3.81,8,-55.4,8.45,25.3,
XP_010035276.1,3.89,11,-55.2,9.68,24.5,
XP_010023650.1,3.99,11,-55.2,6.1,53.1,
XP_018732057.1,3.82,8,-54.9,8.78,71.4,
XP_010069596.1,4.06,14,-54.5,4.65,16.5,
XP_010067858.1,3.85,9,-54.2,9.07,39.6,
XP_018719257.1,3.88,9,-54.2,5.94,121.6,
XP_010063266.1,4.11,15,-53.6,6.8,44,
XP_010049816.1,4.07,14,-53.5,8.05,38.4,
XP_010037305.1,3.7,7,-53.3,7.67,30,
XP_010028936.1,3.9,10,-53.1,5.81,114.4,
XP_010028347.1,3.62,7,-53.1,5.27,54.7,
KCW53175.1,3.89,9,-52.8,5.47,112.8,
KCW44883.1,3.86,9,-52.3,5.76,93.2,
ADO23602.1,4.06,14,-52.1,8.65,35.2,no description available
XP_010065529.1,3.95,9,-51.1,6.44,84.3,
XP_010029375.1,3.97,12,-50.6,8.48,29.4,
XP_010060093.1,4.19,19,-50.6,6.78,46.4,
XP_010069895.1,3.56,5,-50.5,8.98,56.6,
XP_010032290.1,3.78,11,-50.2,8.9,46.6,
XP_010033508.2,3.89,9,-50.2,5.63,113.6,
XP_010064085.1,3.77,7,-49.9,5.82,42.2,
XP_010035773.1,3.89,8,-49.6,9.82,41.4,
KCW51659.1,3.45,6,-49.5,5.15,26.9,
XP_010067406.1,3.61,6,-49.3,5.37,41.7,
XP_010042058.1,3.83,9,-49,5.51,29.6,
XP_010029191.1,4.11,14,-48.9,5.45,34.2,
XP_010040556.1,3.87,10,-48.9,5.49,68.7,
XP_018732456.1,3.69,6,-48.9,8.48,48.1,
KCW57288.1,3.98,11,-47.7,8.52,41.6,
XP_010036551.1,3.9,8,-47.1,5.93,33.9,
XP_010024738.1,3.62,6,-47,4.99,17.6,
XP_010031829.1,3.84,10,-46.6,8.25,39.4,
XP_010059179.1,3.55,7,-46.4,9.18,52.8,
XP_010063241.1,3.88,8,-46.4,4.94,80.5,
XP_010044926.1,3.73,7,-46.3,5.59,64.4,
XP_010035997.1,4.02,11,-46.1,9.04,11.8,
XP_010037701.1,3.83,8,-45.3,5.48,30.9,
XP_010067511.1,3.57,6,-44.2,5.04,34.3,
XP_010048829.1,3.9,9,-43.9,7.87,53.1,
XP_010028899.1,3.73,8,-43.5,8.45,42.8,
XP_010031618.1,3.9,10,-43.4,6.73,84.6,
XP_010053907.1,3.89,9,-43.4,6.29,80.2,
XP_010066265.1,4.25,20,-42.8,6.29,18.8,
XP_010058569.1,3.72,7,-42.5,9.82,22.9,
XP_010036983.1,4,8,-42.3,5.43,39.4,
XP_010049597.1,3.79,8,-42,5.81,54.5,
XP_018731114.1,3.63,7,-41.9,8.99,67.7,
XP_010063104.1,3.6,6,-41.7,9.24,60,
XP_010048243.1,3.65,6,-41.4,7.52,40.1,
XP_010028097.1,3.86,8,-41.1,10.79,16.7,
XP_010069156.1,3.66,6,-41,10.44,17.2,
XP_010041954.1,3.73,6,-40.9,5.64,15.3,
XP_010052867.1,3.58,5,-40.6,9.59,61.3,
XP_010053990.1,3.62,6,-40.5,5.31,41.6,
XP_010027650.1,3.63,6,-40.4,9.01,17.9,
XP_010049710.1,3.68,7,-40.1,6.88,55.9,
XP_010048387.1,3.93,7,-39.8,4.32,23.9,
XP_018732861.1,3.71,6,-39.7,6.13,63.7,
XP_010043237.1,3.75,6,-39.6,5.05,31.2,
XP_010028338.1,3.8,8,-39.6,4.98,53.5,
XP_010048581.1,3.66,5,-39.4,8.82,87.2,
XP_010039555.1,3.62,5,-39.3,4.34,49.1,
XP_010067611.1,4.02,11,-38.8,7.83,25.6,
XP_010027974.1,3.88,8,-38.6,7.66,80.1,
XP_010042589.1,3.54,5,-37.7,8.94,82.2,
XP_010068510.2,4.02,10,-37.7,6.55,22.5,
XP_010069059.1,3.84,7,-37.2,6.52,59.1,
XP_010036200.1,3.81,9,-37,8.56,27.6,
XP_010034044.1,3.65,7,-36.3,5.43,71.4,
XP_010035552.1,3.66,4,-36,7.83,31.1,
XP_010043320.1,3.3,4,-35.8,9.58,40.7,
XP_010045878.1,3.93,12,-35.7,5.46,28.6,
XP_010043801.1,3.83,9,-35.7,5,16.9,
XP_010028563.1,3.97,9,-35.2,5.51,52.1,
XP_010061137.1,3.81,7,-35.1,8.74,60,
XP_010037848.1,3.8,7,-34.7,11.48,11.4,
XP_010037863.1,3.82,8,-34.6,10.58,15.8,
XP_010057104.1,3.75,6,-34.5,5.54,57.5,
XP_018717273.1,3.76,13,-34.4,9.81,17.7,
XP_010037170.1,3.75,7,-34.4,7.63,43.3,
XP_010047425.1,3.72,7,-34.4,8.83,64,
XP_010056208.1,3.81,7,-34.3,6.52,45.2,
XP_010030961.1,3.76,7,-34.1,6.13,27.2,
sp|ALBU_HUMAN|,3.68,6,-33.7,5.92,69.3, Serum albumin; Flags: Precursor; 
sp|K1C15_SHEEP|,3.85,9,-33.7,4.73,48.7," Keratin, type I cytoskeletal 15; Cytokeratin-15; CK-15; Keratin-15; K15; "
XP_018715637.1,3.74,6,-33.5,9.43,33.8,
XP_018720581.1,3.66,7,-33.4,6.41,101.9,
XP_010032725.1,3.9,7,-33.2,5.95,39.3,
XP_010052663.1,3.73,7,-32.9,10.51,44.7,
XP_010033712.1,3.81,8,-32.8,8.91,29,
XP_010031366.1,3.52,7,-32.6,8.04,63.5,
KCW82050.1,3.55,4,-32.4,5.37,46.6,
XP_010033466.1,3.7,5,-32.4,5.68,53.9,
XP_010061415.1,4.02,9,-32.3,6.78,38.2,
XP_010032323.1,3.55,4,-32.2,5.22,70.5,
XP_010060042.1,3.73,6,-32,4.72,29.2,
XP_010032010.1,3.61,5,-31.8,6.93,92,
XP_010052216.1,3.59,6,-31.7,8.87,42.3,
XP_010045714.1,3.56,4,-31.6,5.24,35.6,
XP_010032608.1,3.52,4,-31.5,9.32,58.7,
XP_010061902.2,3.67,6,-31.4,9.25,54.3,
XP_010029878.1,3.74,7,-31.2,8.2,43.4,
XP_018727337.1,3.57,5,-31,5.36,24,
XP_010035960.1,3.7,7,-30.5,5.07,37.4,
XP_010055401.1,3.61,5,-30.4,5.69,33.6,
KCW48530.1,3.52,4,-30.3,7.47,52.8,no description available
XP_018723759.1,3.67,6,-30.1,9.54,14.6,
XP_018719731.1,3.55,3,-30.1,8.43,78.9,
XP_010061240.1,3.46,4,-29.9,6.79,67.4,
XP_010052458.1,3.44,4,-29.9,9.66,24.6,
XP_010029385.1,3.66,4,-29.9,5.07,24.4,
XP_010036197.1,3.7,6,-29.7,8.84,27.8,
XP_010045004.1,3.43,4,-29.6,8.82,38.9,
XP_010060663.1,3.66,5,-29.5,8.52,36.2,
XP_010036726.1,3.87,9,-29.4,6.56,38.5,
XP_010033583.1,3.78,7,-29.4,7.75,17,
XP_010037503.1,3.91,9,-29.3,6.12,53.3,
XP_010054042.1,3.61,4,-29.3,11,23.6,
XP_010024122.1,3.75,5,-29.3,4.34,49.4,
XP_018717197.1,3.62,7,-29.2,8.47,37.4,
XP_010025755.2,3.72,4,-29.1,6.86,82.1,
XP_010037925.1,3.75,6,-29.1,10.48,44.9,
XP_010065863.1,3.58,5,-28.8,5.04,52.6,
XP_010050008.1,3.67,6,-28.7,5.5,47.9,
XP_010023565.1,3.92,9,-28.6,9.17,41.8,
XP_010066951.1,3.53,5,-28.4,7.02,29.6,
XP_010066621.1,3.75,7,-28.3,6.48,51,
XP_010048991.1,3.36,4,-28,7.61,35.5,
NP_001289666.1,3.66,5,-27.9,4.74,50.2,
XP_010024486.1,3.17,4,-27.8,6.12,12.1,
XP_010028424.1,3.47,3,-27.5,7.56,71.1,
XP_010047405.1,3.61,4,-27,7.61,24.1,
XP_010062160.1,3.8,7,-27,6.23,52.8,
ADO23587.1,3.69,5,-26.6,6.68,51.8,no description available
KCW77830.1,3.58,5,-26.6,6.64,39.1,
ADO23586.1,3.75,8,-26.5,5.33,39.5,no description available
XP_010029593.1,3.5,4,-26.4,8.69,46.5,
XP_010040729.1,3.5,4,-26.3,6.04,34.6,
XP_010035138.1,3.64,5,-26.3,4.78,50.3,
XP_010029949.1,3.65,5,-26.1,5.75,73.3,
XP_010033256.1,3.58,5,-26.1,8.82,36.7,
XP_010070431.1,3.73,6,-25.8,5.8,38.7,
XP_010069727.1,3.7,6,-25.6,6.89,49.1,
XP_010035593.1,3.53,5,-25.4,9.32,46.2,
XP_018720304.1,3.75,5,-25.3,4.57,24.1,
KCW66115.1,3.53,5,-25.2,9.56,42.3,
XP_010029697.1,3.63,4,-25.2,10.9,28.2,
XP_010055092.1,3.4,4,-25,8.44,52.3,
XP_010025569.1,3.48,3,-24.9,8.78,60,
XP_010059895.1,3.68,7,-24.9,5.63,51.8,
XP_010062317.1,3.61,5,-24.7,6.48,46.7,
XP_018733356.1,3.58,4,-24.6,10.24,17.5,
XP_010047753.1,3.6,5,-24.5,9.6,36.6,
XP_010031113.1,3.36,4,-24.3,9.01,35.3,
XP_010044470.1,3.48,5,-24.2,6.24,47.2,
XP_010066088.1,3.87,6,-24.1,6.64,49.8,
XP_010069867.1,3.49,4,-23.9,8.39,83.2,
KCW65489.1,3.42,4,-23.8,6.39,48.9,
XP_010053906.1,3.74,6,-23.8,7.06,80.7,
XP_010044133.1,3.79,4,-23.7,8.8,43,
XP_010052791.1,3.93,10,-23.6,6.84,16.2,
XP_010070108.1,3.9,8,-23.5,8.8,46.9,
XP_010039946.1,3.53,3,-23.5,4.98,47.4,
XP_010053434.1,3.6,3,-23.4,5.95,31.2,
XP_010038204.1,3.36,4,-23.3,4.6,23,
XP_010044209.1,3.74,5,-23.2,10.82,20.3,
XP_010047845.1,3.6,5,-23.1,4.93,80.2,
XP_010066914.1,3.61,5,-23,11.6,13.7,
XP_010060673.1,3.66,4,-22.9,6.98,46,
XP_018732194.1,3.67,5,-22.8,5.91,27.2,
XP_010067029.1,3.63,5,-22.7,5.82,50,
XP_010060433.1,3.6,5,-22.6,5.04,80.6,
XP_018715636.1,3.24,3,-22.5,4.85,41.3,
XP_010065001.1,3.55,6,-22.4,6.19,28.1,
XP_010060595.1,3.61,4,-22.4,8.83,37.5,
XP_010036201.1,3.71,5,-22.3,8.23,28.1,
XP_010057453.1,3.29,3,-22.3,5.14,37.4,
XP_010045666.1,3.42,3,-22.2,5.3,54.7,
XP_018715111.1,3.49,3,-22.2,4.96,69.7,
XP_018718395.1,3.65,7,-22,6.52,29.3,
XP_010032227.1,3.6,6,-22,9.15,49.3,
XP_010061512.1,3.42,4,-22,4.78,28.3,
XP_010055432.1,3.39,4,-21.9,5.91,22.6,
XP_010045047.1,3.23,3,-21.9,8.15,44.1,
XP_010047424.1,3.96,7,-21.9,5.95,62.3,
XP_010023455.1,3.62,5,-21.8,7.09,71.6,
XP_010066391.1,3.44,3,-21.7,5.68,29.5,
XP_010027921.1,3.55,5,-21.6,8.45,24.7,
XP_010046969.1,3.52,4,-21.6,8.5,41.3,
XP_010032621.1,3.16,2,-21.5,9.15,58.4,
KCW68667.1,3.34,3,-21.5,10.74,9.4,
XP_010052710.1,3.25,2,-21.4,5.68,25.9,
XP_010057074.1,3.32,3,-21.4,9.01,42.2,
XP_010032395.1,3.75,5,-21.4,10.24,25.9,
XP_010065219.1,3.34,4,-21.3,9.28,28.4,
XP_010042470.1,3.63,7,-21.2,8.95,20.1,
XP_010062212.1,3.67,4,-21.2,4.55,72.3,
XP_010063137.1,3.33,3,-21,7.75,16.2,
XP_010032055.1,3.52,4,-20.9,6.08,27.3,
XP_010055036.2,3.39,3,-20.8,7.24,98,
XP_010044939.1,3.93,9,-20.6,9.41,31.9,
XP_010024713.1,3.63,6,-20.6,9.47,14.2,
XP_018727115.1,3.6,5,-20.6,6.55,57.9,
XP_010031259.1,3.55,4,-20.5,6.55,42,
XP_010053652.1,3.37,3,-20.4,5.44,69.2,
XP_010052188.1,3.63,5,-20.4,4.87,57.4,
XP_010029606.1,3.55,3,-20.4,9.08,29.6,
XP_010054663.1,3.67,5,-20.4,4.97,49.8,
XP_010035248.1,3.61,4,-20.4,9.73,23.2,
XP_010033142.1,3.52,4,-20.3,8.35,26.8,
XP_010028919.1,3.34,4,-20,9.1,9.6,
XP_010025126.1,3.77,6,-19.9,10.28,14.9,
XP_010067582.1,3.55,3,-19.8,9.49,34.5,
XP_018721419.1,3.41,3,-19.6,9.61,32.2,
XP_018718547.1,3.51,4,-19.6,4.7,51.5,
XP_010060685.2,3.66,5,-19.6,8.05,47.2,
XP_010042680.1,3.35,3,-19.6,9.8,43.2,
XP_010036152.1,3.19,3,-19.5,9.64,20.4,
XP_010029673.1,3.37,3,-19.3,8.77,40.8,
XP_010028700.1,3.35,3,-19.3,9.51,56,
XP_010044352.1,3.2,4,-19.2,4.91,90.5,
ADO23614.1,3.45,3,-19.2,6.54,56,no description available
XP_010025008.1,3.56,4,-19.2,10.37,17,
XP_010068989.1,3.37,3,-19,9.07,22.6,
XP_010049172.1,3.65,5,-19,5.47,70.7,
XP_010032624.1,3.62,5,-19,4.76,29.7,
XP_010033473.1,3.77,5,-18.9,10.9,28.1,
XP_010028689.1,3.47,3,-18.9,6.95,33.5,
XP_010047106.1,3.63,4,-18.9,6.63,59.7,
XP_010053589.1,3.67,6,-18.8,5.04,17.3,
XP_010046521.1,3.31,3,-18.7,5.52,68.7,
XP_010061765.1,3.51,5,-18.7,6,36.5,
XP_010069682.1,3.51,4,-18.6,5.33,40.6,
XP_010024778.1,3.34,3,-18.6,9.17,84.9,
XP_010059812.1,3.49,3,-18.3,6.88,50.8,
ADO23596.1,3.36,3,-17.9,5.18,14.6,no description available
XP_010035290.1,3.35,3,-17.7,8.62,25.5,
XP_010066900.1,3.13,2,-17.6,9.16,26.1,
XP_010045109.1,3.29,3,-17.6,6.33,27.3,
XP_010063760.1,3.57,4,-17.6,5.5,25.7,
XP_010056890.1,3.46,3,-17.6,4.71,42.7,
XP_010028833.1,3.24,3,-17.4,4.79,57,
XP_010037164.1,3.44,3,-17.4,10.32,23,
XP_010063805.1,3.66,7,-17.3,4.61,66.2,
NP_001289660.1,3.8,5,-17.3,4.93,49.6,
XP_010069078.1,3.35,3,-17.3,7.27,49,
XP_010047476.1,3.22,3,-17.1,6.46,39.4,
XP_010044267.1,3.3,3,-17.1,4.76,42,
XP_010023772.1,3.44,3,-16.9,5.84,61.2,
XP_010023651.1,3.38,4,-16.9,7.98,51.8,
XP_010055735.1,3.5,4,-16.9,4.46,29.4,
XP_010069144.1,3.14,2,-16.8,9.49,18.1,
XP_010032637.1,3.49,6,-16.7,9.1,20.2,
XP_010058031.1,3.38,3,-16.6,5.81,58,
XP_010034084.1,3.63,6,-16.5,5.37,68.7,
XP_010046497.1,3.54,3,-16.5,6.64,108.3,
XP_010061844.1,3.49,3,-16.4,8.7,83.7,
XP_010049706.1,3.26,3,-16.4,5.81,55.4,
XP_010066652.1,3.33,3,-16.3,6.07,67.8,
XP_010043342.1,3.34,3,-16.2,5.86,54.3,
XP_010028810.1,3.03,2,-16.2,8.45,28.2,
XP_010059854.1,3.2,2,-16.1,6.11,80.3,
XP_010061892.1,3.3,2,-16,9.84,22.2,
XP_018715972.1,3.06,3,-16,4.7,13.4,
XP_010063458.1,3.23,3,-15.8,5.72,91.6,
XP_010033471.1,2.95,2,-15.7,9.46,13.5,
XP_018718646.1,3.17,2,-15.7,9.41,56.3,
XP_010069259.2,3.22,2,-15.6,4.61,30.7,
XP_010064234.1,3.08,2,-15.6,8.23,52.2,
NP_001289662.1,3.51,4,-15.5,4.74,50.4,
XP_010044046.1,3.5,3,-15.5,5.25,44.6,
XP_010033665.1,3.55,3,-15.3,4.92,34,
XP_010041734.2,3.37,3,-15.2,10,10.3,
XP_010044738.1,3.46,3,-15.2,6.36,40.7,
KCW53725.1,3.33,2,-15.1,9.82,7.3,no description available
XP_010052745.1,3.22,3,-15.1,5.67,23.3,
XP_010070252.1,3.24,3,-15.1,6.48,48.9,
XP_010064077.1,3.3,2,-15,7.77,41.1,
XP_018721531.1,2.9,1,-15,9.27,34.3,
KCW64912.1,3.78,5,-15,5.6,17.3,
XP_018719762.1,3.25,2,-15,9.11,85.2,
KCW45193.1,3.43,3,-15,6.83,16.8,no description available
XP_010062976.2,3.47,3,-14.9,9.29,60.9,
XP_010028398.1,3.09,2,-14.8,5.74,93.5,
XP_018720995.1,3.51,4,-14.8,10.37,28.6,
XP_010027708.1,3.54,4,-14.8,6.36,51.8,
XP_010050337.1,3.58,4,-14.7,5.74,39.3,
XP_010030714.1,3.4,5,-14.7,5.46,44.9,
XP_010063163.1,3.15,2,-14.7,10,36.7,
XP_010060643.1,3.46,3,-14.7,5.65,24.2,
XP_010069235.1,3.57,4,-14.4,9.02,34.5,
XP_010043250.1,3.49,4,-14.3,7.7,30.9,
XP_010024288.1,3.43,3,-14.3,5.38,34.2,
XP_010032881.1,3.21,2,-14.3,7.92,20.9,
XP_010031355.1,3.21,2,-14.2,6.8,46.5,
XP_010053945.1,3.62,3,-14,11.63,8.2,
XP_010063827.1,3.68,4,-14,10.56,17.6,
XP_010027532.1,3.52,3,-14,7.56,65.8,
XP_010032814.1,3.13,2,-13.9,5.49,32,
XP_010063381.1,3.62,5,-13.9,4.86,33.5,
XP_018732593.1,3.27,2,-13.7,7.02,39.8,
XP_018723237.1,3.33,3,-13.7,4.54,28.6,
KCW61847.1,3.18,3,-13.6,10.24,38.5,
XP_010043580.1,3.29,2,-13.5,10.11,26.4,
XP_018725182.1,3.66,5,-13.4,5.14,17.2,
XP_010025519.1,3.39,2,-13.4,9.03,27.6,
XP_010025043.1,3.47,3,-13.3,6.22,38.9,
XP_010065636.2,3.46,3,-13.3,8.69,63.7,
XP_010025117.1,3.36,3,-13.2,6.43,57.3,
XP_010029741.1,3.28,2,-13.2,9.44,36.7,
XP_010033373.1,3.09,2,-13.2,8.03,30.9,
XP_018729627.1,3.6,4,-13.1,9.49,30.4,
XP_010069812.1,3.14,2,-13,4.81,93.7,
XP_010047138.1,3.34,2,-13,6.64,21.4,
XP_010062829.1,3.33,3,-13,5.51,24.1,
XP_010053041.1,3.31,2,-12.8,9.77,24.1,
ADO23617.1,3.65,5,-12.7,6.03,7.7,no description available
XP_018732053.1,3.43,2,-12.7,8.66,26.5,
XP_010044949.1,3.07,2,-12.7,5.25,52.7,
XP_018724396.1,3.56,6,-12.6,5.38,26.9,
XP_010053221.1,3.18,2,-12.4,5.52,52.7,
XP_010033127.1,3.61,5,-12.3,9.07,15.5,
NP_001289661.1,3.26,2,-12.3,6.05,92.6,
XP_010029994.1,2.84,1,-12.3,9.2,13.9,
XP_010027859.1,3.29,2,-12.3,10.79,20.8,
XP_010028049.1,3.13,2,-12.2,6.16,33.6,
XP_018715447.1,3.16,2,-12.1,8.87,23.3,
XP_010023768.1,3.22,2,-12.1,8.48,46.9,
XP_010037698.1,3.5,3,-12,6.02,32.8,
XP_018733165.1,3.08,2,-11.9,5.38,31.2,
XP_010025830.2,3.3,2,-11.9,5.72,45,
XP_010025570.1,3.49,3,-11.8,6.33,58.9,
KCW49413.1,3.84,13,-11.8,4.89,22.1,
XP_018718273.1,3.19,3,-11.7,6.46,54.5,
XP_010034049.1,3.21,2,-11.6,6.55,52,
XP_010024143.1,3.45,3,-11.6,6.19,18.3,
XP_010029512.1,3.15,2,-11.5,8.87,63.8,
XP_018731869.1,3.52,2,-11.5,5.09,97.5,
XP_018727890.1,3.53,3,-11.5,6.25,34.4,
XP_010043251.1,3.31,2,-11.5,4.89,19.6,
XP_010029198.1,3.66,5,-11.5,7.67,33.5,
XP_010030053.1,3.54,4,-11.4,5.95,27.6,
XP_018731503.1,3.15,2,-11.3,4.63,49.2,
XP_010047838.1,2.98,1,-11.3,9.52,23.3,
XP_010044984.1,3.25,2,-11.2,7.67,58.8,
XP_010060049.1,3.47,3,-11.2,5.8,30.6,
XP_010024151.1,3.51,3,-11.2,8.78,42.5,
XP_010047663.1,3.56,5,-11.2,4.63,14.1,
XP_010060968.1,2.88,1,-11.1,5.05,29.8,
XP_018733071.1,3.18,2,-11.1,5.33,53.4,
XP_010042063.1,3.5,4,-11.1,8.95,44.4,
XP_010030379.1,3.77,5,-11.1,5.6,17.5,
XP_010032064.1,3.65,4,-11.1,9.74,22,
XP_010063836.1,3.51,4,-11,5.28,38.4,
XP_018732157.1,3.39,2,-11,4.89,24.6,
XP_018727790.1,3.13,2,-11,5.01,41.1,
XP_010033713.2,3.16,2,-10.9,9.25,32.1,
XP_010053670.1,3.58,3,-10.9,5.22,32.1,
XP_010044612.1,3.26,2,-10.9,8.09,56.6,
XP_010067475.1,3.34,2,-10.9,5.86,51.2,
XP_010023918.1,3.07,2,-10.8,10.37,15.5,
XP_010036671.1,3.07,2,-10.8,5.55,15,
XP_010045313.1,3.32,2,-10.8,9.56,21.9,
XP_010037691.1,3.19,1,-10.7,6.12,43.2,
