Identifier,log(I),rI,log(e),pI,Mr (kDa),Description
XP_010052093.1,4.22,22,-152.7,5.14,28.1,
XP_010054791.1,4.39,30,-149.4,8.36,84.8,
XP_010029191.1,4.44,34,-146.6,5.45,34.2,
XP_010040050.1,4.25,24,-146.2,8.29,34.6,
XP_010044150.1,4.33,28,-146.1,6,59.6,
XP_010065527.1,4.31,26,-144,6.23,84.2,
sp|K1C9_HUMAN|,4.41,26,-143.7,5.19,62.1," Keratin, type I cytoskeletal 9; Cytokeratin-9; CK-9; Keratin-9; K9; "
XP_018718395.1,4.42,34,-143.4,6.52,29.3,
XP_010056673.1,4.75,64,-142.6,8.8,37,
ADO23598.1,4.45,35,-141.3,6.04,52.7,no description available
XP_010054080.1,4.61,39,-140.9,8.29,28,
XP_010067858.1,4.23,22,-132.7,9.07,39.6,
XP_010043318.1,4.48,34,-130.9,9.87,15,
XP_010064085.1,4.08,19,-130.8,5.82,42.2,
XP_010054946.1,4.26,23,-127.7,6.97,33.8,
XP_010032381.1,4.69,43,-126.4,5.52,51.8,
XP_010042031.1,4.18,18,-126.4,5.26,38.3,
KCW48473.1,4.58,53,-124,8.1,29.5,
XP_010049816.1,4.37,22,-123.7,8.05,38.4,
XP_010029197.1,4.34,24,-121.1,6.98,32.8,
XP_010028214.1,4.19,20,-119.9,9.11,55.3,
XP_010030977.1,4.22,18,-119.3,5.16,71.1,
XP_010067614.1,4.24,20,-119.2,5.22,23.2,
XP_010050038.1,4.35,25,-119,5.32,47.7,
XP_010056683.1,4.72,62,-118.6,8.94,37,
XP_010049664.1,4.37,24,-116.8,5.55,17.3,
XP_010041840.1,4.37,31,-116.1,5.86,39.4,
XP_010041869.1,4.37,33,-114.2,6.07,29.9,
XP_010063732.1,4.43,29,-112.7,5.73,30.3,
XP_010035406.1,4.58,35,-108.3,5.65,43.1,
XP_018720581.1,4.04,14,-107.7,6.41,101.9,
XP_018730521.1,4.15,19,-107.1,6.01,34.1,
XP_010055403.1,4.38,24,-106.7,6.19,33.8,
XP_010059179.1,4.01,18,-106.5,9.18,52.8,
XP_010025353.1,4.24,25,-105.8,7.02,36.6,
XP_010036862.1,4.04,14,-105.2,6.29,101.9,
XP_010024736.1,4.19,19,-105,5.49,17.4,
KCW56039.1,4.39,28,-104.1,5.56,34.1,
XP_010045878.1,4.23,25,-102.3,5.46,28.6,
XP_010056019.1,4.64,48,-102.3,6.31,16.7,
XP_010023650.1,4.22,19,-100.7,6.1,53.1,
XP_010061201.1,4.22,17,-100.5,7.09,48.2,
XP_010066215.1,4.03,16,-100.2,8.13,42.9,
XP_010065001.1,3.92,14,-98.2,6.19,28.1,
XP_010024863.1,4.43,25,-96.5,5.59,42.9,
XP_010055402.1,4.17,19,-96.1,5.56,35.2,
XP_018727810.1,4.25,18,-96,8.26,24.2,
XP_018732861.1,4.26,20,-94,6.13,63.7,
XP_010060801.1,4.18,19,-92.7,9.24,40.7,
XP_010032010.1,4.13,17,-92.2,6.93,92,
XP_018718601.1,4.28,22,-92.1,5.72,34.3,
XP_018727808.1,4.23,16,-90.6,8.52,24.2,
XP_010052858.1,4.15,15,-90.5,5.27,32.3,
XP_010053128.1,3.93,11,-90.4,9.09,68.9,
XP_010028899.1,4.06,14,-90.4,8.45,42.8,
XP_010052042.1,4.14,15,-90.3,6.05,53.1,
XP_010055093.1,4.11,14,-89.2,6.7,51.7,
XP_010043319.1,4.08,14,-89.1,5.19,39.9,
XP_010043791.1,3.98,11,-88.8,5.16,61.2,
XP_010026751.1,4.19,18,-88.8,6.37,33.8,
XP_010063949.1,4.02,13,-88.7,4.76,56.1,
XP_010030975.1,3.98,12,-88.5,5.13,71.2,
XP_010053832.1,4.22,17,-88.1,9.33,51.6,
XP_010055986.1,4.06,13,-87,5.07,73.5,
XP_010032637.1,4.41,42,-87,9.1,20.2,
XP_010056208.1,4.07,15,-86.2,6.52,45.2,
XP_010033217.1,4.01,12,-85.6,8.78,29.3,
XP_010057074.1,3.93,14,-85.1,9.01,42.2,
XP_010030046.1,4.16,15,-84.2,9.07,32.4,
XP_010023565.1,4.12,17,-84.1,9.17,41.8,
XP_010057920.1,4.18,14,-84,6.12,40.8,
XP_010070108.1,4.16,15,-83.2,8.8,46.9,
XP_010058011.1,3.88,12,-82.9,8.72,48.8,
XP_010057805.1,4.06,19,-82.8,7.2,40,
XP_010055401.1,4.2,17,-82.7,5.69,33.6,
XP_010066256.1,4.47,31,-82.4,8.7,18,
XP_010056276.1,4.37,26,-81.1,5.46,43,
XP_010067580.1,4.16,15,-81,9.48,34.7,
ADO23587.1,4.3,27,-80.9,6.68,51.8,no description available
XP_010024738.1,3.98,12,-80.5,4.99,17.6,
XP_010042058.1,4.15,16,-79.1,5.51,29.6,
XP_018726917.1,4.1,15,-78.8,8.89,26.8,
XP_010029375.1,4.14,16,-77.5,8.48,29.4,
XP_010036726.1,4.08,11,-77.2,6.56,38.5,
XP_010056136.1,4.05,15,-77.1,8.89,43.8,
XP_010052067.1,3.92,13,-76.5,10.45,16.3,
XP_010067582.1,4.11,14,-75.9,9.49,34.5,
XP_010069596.1,4.16,16,-75.8,4.65,16.5,
XP_010036551.1,4.08,13,-75.7,5.93,33.9,
XP_010036822.1,4.1,18,-75.7,8.56,29.6,
XP_010042319.2,4.59,33,-75.5,7.47,52.8,
XP_010047845.1,3.9,10,-75,4.93,80.2,
XP_010031610.1,4.04,12,-74.9,8.79,69,
XP_010046462.1,3.96,13,-74.7,5.65,68.6,
XP_010027978.1,4.19,16,-74.7,8.77,57.1,
XP_010028648.1,3.96,14,-74.7,8.13,43,
sp|TRYP_PIG|,4.47,36,-74.2,6.85,24.4, Trypsin; EC 3.4.21.4; Flags: Precursor; 
XP_010029105.1,3.88,9,-74,8.45,25.3,
XP_018719789.1,4.08,17,-73.6,5.84,35.1,
XP_010060093.1,4.13,17,-73.5,6.78,46.4,
XP_010044926.1,3.93,11,-72.5,5.59,64.4,
XP_010069895.1,4.1,14,-72.3,8.98,56.6,
XP_010047753.1,3.99,11,-71.1,9.6,36.6,
XP_010058569.1,4.03,12,-70.8,9.82,22.9,
XP_010069685.1,3.88,9,-69.7,9.82,14.4,
XP_010028338.1,3.96,13,-69.6,4.98,53.5,
XP_010027699.1,4,11,-69.4,5.31,41.7,
XP_010035998.1,4.27,26,-69.1,9.3,11.7,
XP_010061816.1,3.89,10,-68.2,8.31,85.7,
XP_010053907.1,3.9,10,-66.8,6.29,80.2,
XP_010067725.1,3.98,14,-66.5,9.27,47,
XP_010033256.1,3.65,8,-66.3,8.82,36.7,
KCW57288.1,4.13,15,-66,8.52,41.6,
XP_010035138.1,4,15,-65.6,4.78,50.3,
XP_010066729.1,3.97,12,-65.1,5.93,102.2,
XP_010069682.1,3.74,8,-65,5.33,40.6,
NP_001289666.1,3.99,15,-64.8,4.74,50.2,
ADO23586.1,4.19,19,-64.6,5.33,39.5,no description available
XP_010035960.1,4.15,15,-64,5.07,37.4,
XP_010027701.1,3.99,11,-63.4,5.31,41.7,
XP_010063598.1,3.79,9,-63.4,5.3,72.2,
NP_001289663.1,3.8,8,-63,5.78,51.9,
XP_010048243.1,3.94,10,-62.6,7.52,40.1,
XP_010032608.1,3.83,8,-62.6,9.32,58.7,
XP_010054042.1,4.26,17,-62.3,11,23.6,
XP_010037848.1,3.98,11,-61.9,11.48,11.4,
XP_010067877.1,3.95,11,-61.5,9.79,42.3,
XP_010050008.1,3.98,11,-61.4,5.5,47.9,
XP_010067525.1,3.87,12,-60.9,5.85,30.3,
XP_010037503.1,4.05,14,-60.3,6.12,53.3,
XP_010030182.1,3.82,9,-60.2,5.45,76,
XP_010061415.1,4.04,10,-60.1,6.78,38.2,
XP_010032621.1,3.8,8,-59.5,9.15,58.4,
ADO23614.1,3.86,8,-59.5,6.54,56,no description available
XP_010024830.1,3.85,8,-59.5,7.23,53.3,
XP_010061892.1,3.76,8,-59.2,9.84,22.2,
XP_010024778.1,3.73,8,-59,9.17,84.9,
XP_010033373.1,3.93,10,-59,8.03,30.9,
XP_018730768.1,3.78,9,-58.9,6.18,71.5,
XP_010044409.1,3.79,9,-58.1,5.22,60.4,
ADO23602.1,4.02,15,-57.8,8.65,35.2,no description available
XP_010069059.1,4.02,11,-57.7,6.52,59.1,
XP_010066265.1,4.31,20,-57.6,6.29,18.8,
XP_010037170.1,3.97,10,-57.3,7.63,43.3,
XP_010027974.1,3.9,10,-57.2,7.66,80.1,
XP_010035290.1,3.83,6,-57.2,8.62,25.5,
XP_010030704.1,3.87,11,-57.1,5.45,45,
XP_010052216.1,3.63,8,-56.9,8.87,42.3,
XP_010049847.1,3.88,10,-56.5,8.22,51,
NP_001289662.1,3.99,15,-56.3,4.74,50.4,
XP_010036097.1,4,14,-56.2,8.67,29.2,
XP_010035773.1,4.05,11,-56.2,9.82,41.4,
XP_010061071.1,3.95,11,-55.9,4.74,50,
XP_010061765.1,3.94,10,-55.7,6,36.5,
XP_010035552.1,3.71,7,-55.6,7.83,31.1,
XP_010034921.1,3.79,9,-55.4,9.52,22.1,
XP_010028049.1,3.92,13,-55.2,6.16,33.6,
XP_010032358.1,3.76,8,-55.1,9.37,42.4,
XP_010070634.1,3.85,12,-54.9,6.76,79.7,
XP_010066154.1,4.2,16,-54.7,7.81,16.8,
XP_010067511.1,3.75,7,-54.7,5.04,34.3,
XP_010066088.1,4.12,13,-54.3,6.64,49.8,
XP_018731969.1,3.93,12,-54.2,5.38,46.7,
XP_010037925.1,3.69,6,-53.3,10.48,44.9,
XP_010068510.2,4.14,13,-53.3,6.55,22.5,
KCW66115.1,3.93,9,-53.2,9.56,42.3,
XP_010052663.1,3.82,8,-52.8,10.51,44.7,
XP_018729774.1,3.87,8,-52.4,9.16,27.3,
ADO23574.1,4.23,18,-52.1,5.13,38.9,no description available
XP_010031259.1,4.04,13,-51.6,6.55,42,
XP_010030714.1,3.9,11,-51.5,5.46,44.9,
XP_010029673.1,3.87,9,-51.4,8.77,40.8,
XP_010035120.1,3.68,7,-51.4,4.58,23.8,
XP_010035997.1,4.12,15,-51.3,9.04,11.8,
XP_018731179.1,3.85,9,-50.9,5.35,82.7,
XP_010028715.1,3.87,10,-50.8,8.76,81.2,
XP_010032055.1,3.83,8,-50.7,6.08,27.3,
XP_010049454.2,3.75,9,-50.5,5.64,94.2,
XP_010046513.1,3.75,9,-50.4,5.42,68.5,
XP_010036664.1,4.2,27,-49.9,9.94,14.7,
XP_010059918.1,3.77,11,-49.7,5.7,82,
XP_010060643.1,3.87,8,-49.7,5.65,24.2,
XP_010052791.1,3.81,10,-49.6,6.84,16.2,
XP_018731114.1,3.82,9,-49.6,8.99,67.7,
XP_010029741.1,3.75,8,-49.2,9.44,36.7,
XP_010025879.1,3.92,10,-49.1,4.67,29.3,
XP_010069607.1,3.91,8,-49.1,10.68,15.6,
XP_010067278.1,3.66,8,-48.9,9.15,49.3,
XP_018717273.1,4.19,27,-48.8,9.81,17.7,
XP_010067894.1,3.83,8,-48.5,10.21,25.3,
XP_010031829.1,3.7,6,-48.4,8.25,39.4,
XP_010028097.1,3.93,10,-48.3,10.79,16.7,
XP_010052537.1,3.79,6,-48,9.39,42.6,
XP_010048387.1,3.93,7,-47.8,4.32,23.9,
XP_010069833.1,3.87,7,-47.7,7.7,32.5,
KCW71369.1,4.19,27,-47.4,5.27,13.8,
XP_010031618.1,3.96,13,-47.3,6.73,84.6,
XP_010063034.1,3.79,6,-47.1,7.31,60.7,
XP_010054105.2,3.96,9,-47,8.35,57,
XP_010040556.1,3.79,9,-47,5.49,68.7,
XP_010035276.1,3.74,9,-46.8,9.68,24.5,
XP_010057104.1,3.99,11,-46.6,5.54,57.5,
XP_010069812.1,3.64,6,-46.3,4.81,93.7,
KCW51659.1,3.38,5,-46.3,5.15,26.9,
XP_010066951.1,3.92,8,-46.2,7.02,29.6,
XP_010037962.1,3.97,14,-46,8.81,17.7,
XP_010049536.1,3.87,10,-45.7,9.55,26.5,
XP_018715542.1,3.63,7,-45.4,9.16,17.6,
XP_010046973.1,3.88,10,-45.3,4.75,54.2,
XP_010063287.1,4.35,25,-44.9,4.96,17,
XP_010049710.1,3.76,6,-44.9,6.88,55.9,
ADO23590.1,3.73,7,-44.4,6.58,82.4,no description available
XP_010043250.1,3.82,7,-44.4,7.7,30.9,
XP_010051417.1,3.84,9,-44.4,5.03,17.2,
XP_010024713.1,3.88,9,-44.4,9.47,14.2,
XP_010037863.1,3.71,8,-44.3,10.58,15.8,
XP_010032624.1,3.93,10,-44,4.76,29.7,
XP_010023651.1,3.77,8,-43.9,7.98,51.8,
XP_010030201.1,3.81,7,-43.9,6.32,47.5,
XP_010066621.1,3.88,7,-43.7,6.48,51,
XP_010036195.1,3.82,8,-43.6,7.66,27.2,
XP_010047451.1,3.89,8,-43.6,9.68,23.3,
XP_010030053.1,3.81,9,-43.3,5.95,27.6,
XP_018732456.1,3.82,6,-43.2,8.48,48.1,
XP_010033508.2,3.81,7,-43.2,5.63,113.6,
XP_010062829.1,3.72,7,-43.1,5.51,24.1,
XP_010042296.1,4,13,-43.1,10.11,15.8,
XP_010037701.1,3.91,12,-43.1,5.48,30.9,
XP_010031366.1,3.82,9,-43,8.04,63.5,
XP_010038186.1,4.01,9,-42.9,6.07,24.6,
XP_010036200.1,4,12,-42.9,8.56,27.6,
XP_010059895.1,3.59,7,-42.7,5.63,51.8,
XP_010033712.1,3.75,8,-42.6,8.91,29,
XP_010063266.1,3.73,7,-42.5,6.8,44,
XP_010060042.1,3.82,8,-41.8,4.72,29.2,
KCW47739.1,3.67,6,-41.7,9.02,41.9,
XP_010069235.1,3.82,8,-41.4,9.02,34.5,
XP_010052071.1,3.84,8,-41.2,10.47,21.2,
XP_010031909.1,3.79,6,-40.7,8.58,44.8,
XP_010065599.1,3.81,9,-40.7,6.75,27.4,
XP_010037305.1,3.83,9,-40.5,7.67,30,
XP_010036199.1,3.64,6,-40.5,8.64,28,
XP_010064086.1,3.57,6,-40.3,8.87,45,
XP_018717197.1,3.81,7,-40,8.47,37.4,
XP_010048581.1,3.69,6,-39.8,8.82,87.2,
XP_010061137.1,3.95,11,-39.6,8.74,60,
XP_010025008.1,3.79,9,-39.3,10.37,17,
XP_010061902.2,3.64,8,-39.2,9.25,54.3,
XP_010067611.1,4.08,10,-39.2,7.83,25.6,
XP_010052685.1,3.68,5,-39,10.84,29.9,
XP_010060663.1,3.79,7,-38.8,8.52,36.2,
XP_010069156.1,3.74,9,-38.7,10.44,17.2,
XP_010063241.1,3.79,7,-38.7,4.94,80.5,
XP_010063633.1,3.82,7,-38.5,8.55,67.4,
XP_010032225.1,3.67,8,-38.3,9.14,49.3,
XP_010035593.1,3.97,11,-38.2,9.32,46.2,
XP_010063760.1,3.68,5,-37.9,5.5,25.7,
XP_010052188.1,3.97,10,-37.8,4.87,57.4,
XP_018719259.1,3.73,8,-37.8,5.72,75.4,
XP_010036768.1,3.84,7,-37.7,5.04,63.9,
XP_010047106.1,3.69,6,-37.7,6.63,59.7,
XP_010052458.1,3.63,5,-37.5,9.66,24.6,
XP_010033828.2,3.68,9,-37.5,9.24,32.2,
XP_010047424.1,3.76,6,-37.1,5.95,62.3,
XP_010032064.1,3.69,6,-36.8,9.74,22,
XP_010060988.1,3.67,5,-36.6,8.25,44.5,
XP_018731449.1,3.76,6,-36.6,6.88,57.1,
XP_010029093.1,3.98,8,-36.5,6,43.1,
XP_010060660.1,3.73,5,-36.5,6.72,76.4,
XP_018732053.1,3.61,5,-36.5,8.66,26.5,
XP_010055092.1,3.69,5,-36.3,8.44,52.3,
XP_010055593.1,3.6,7,-36.3,6.77,62.5,
XP_010043320.1,3.78,7,-36.2,9.58,40.7,
XP_010031766.1,3.37,3,-36.2,4.98,22.5,
XP_010070035.1,3.73,7,-35.9,6.13,28.1,
XP_010041726.1,3.51,5,-35.8,8.71,35.5,
XP_010045047.1,3.78,7,-35.7,8.15,44.1,
XP_010036201.1,3.78,6,-35.6,8.23,28.1,
XP_010044267.1,3.68,5,-35.6,4.76,42,
XP_010028563.1,3.89,7,-35.5,5.51,52.1,
XP_010030961.1,4.01,10,-35.2,6.13,27.2,
XP_010055036.2,3.49,4,-35.1,7.24,98,
XP_010024999.1,3.47,6,-34.8,4.75,52.2,
XP_010040969.1,3.75,6,-34.7,8.75,18.5,
XP_010062799.1,3.66,5,-34.5,8.53,36,
XP_018732057.1,3.61,4,-34.4,8.78,71.4,
XP_010033473.1,3.75,7,-34,10.9,28.1,
XP_010028936.1,3.84,7,-34,5.81,114.4,
XP_010069388.1,3.58,5,-33.9,6.52,37.9,
XP_010045714.1,3.82,8,-33.9,5.24,35.6,
XP_010045302.1,3.67,5,-33.6,6.09,22.3,
XP_010033665.1,3.52,4,-33.3,4.92,34,
XP_010043386.1,3.63,5,-33.3,8.71,15.2,
XP_010067818.1,3.5,5,-32.9,9.46,41.2,
KCW48530.1,3.64,6,-32.7,7.47,52.8,no description available
XP_010051031.1,3.48,4,-32.7,9.95,25.1,
XP_018733356.1,3.65,6,-32.4,10.24,17.5,
XP_010024288.1,3.49,4,-32.4,5.38,34.2,
XP_010032395.1,3.81,7,-32.2,10.24,25.9,
XP_010032196.1,3.59,5,-32,9.07,30.4,
XP_010057419.1,3.88,8,-31.8,10.56,17.6,
XP_010048490.1,3.68,5,-31.7,5.05,25.3,
XP_018732593.1,3.51,3,-31.5,7.02,39.8,
XP_010029484.1,3.64,5,-31.5,5.1,34,
KCW45190.1,3.82,6,-31.5,6.52,22.2,
XP_010028998.1,3.52,4,-31.4,5.97,22.4,
XP_010035248.1,3.65,6,-31.4,9.73,23.2,
XP_010024004.1,3.73,5,-31.4,4.43,25.3,
XP_010045313.1,3.58,5,-31.2,9.56,21.9,
XP_010035630.1,3.78,5,-31.2,5.78,33.9,
XP_010041734.2,3.76,7,-31.1,10,10.3,
XP_010062423.1,3.81,6,-31,9.28,43.7,
XP_010069705.1,3.78,6,-30.9,6.46,41.5,
XP_010045506.1,3.86,6,-30.9,8.75,28.2,
XP_010066294.1,3.68,6,-30.8,5.04,54.4,
XP_010043801.1,3.67,5,-30.8,5,16.9,
XP_010033286.1,3.52,3,-30.8,6.64,19.8,
XP_010028205.1,3.48,4,-30.4,5.01,39.5,
XP_010061867.1,3.88,7,-30.1,4.73,29.4,
XP_010053522.1,3.56,5,-30.1,5.52,22.5,
XP_010047425.1,3.74,7,-29.9,8.83,64,
XP_010025117.1,3.6,5,-29.9,6.43,57.3,
XP_010032290.1,3.61,7,-29.8,8.9,46.6,
XP_018732437.1,3.7,7,-29.7,5.16,43.9,
XP_010061844.1,3.8,7,-29.6,8.7,83.7,
XP_010069114.1,3.57,4,-29.6,5.74,45.2,
XP_010032714.1,3.68,5,-29.5,11.33,29.6,
XP_010032852.1,3.68,4,-29.5,5.47,37.6,
XP_010062276.1,3.75,7,-29.4,5.78,39.2,
XP_010068511.2,3.78,7,-29.3,5.87,47.1,
XP_018717611.1,3.42,3,-29.3,9.48,32,
XP_010055432.1,3.61,5,-29.2,5.91,22.6,
XP_010065821.1,3.55,5,-29.2,6.86,33.3,
XP_010025256.1,3.47,5,-29,11.25,21,
XP_010062160.1,3.5,4,-29,6.23,52.8,
XP_010044264.1,4.07,16,-28.9,8.86,20,
XP_018727337.1,3.71,6,-28.9,5.36,24,
XP_010047069.1,3.26,3,-28.9,8.66,51.6,
XP_010060770.1,3.71,5,-28.8,9.46,30.6,
XP_010028398.1,3.7,4,-28.7,5.74,93.5,
XP_018716770.1,3.53,4,-28.5,6.03,111.1,
XP_010038272.1,3.65,5,-28.4,5.47,39,
XP_010036983.1,3.76,6,-28.3,5.43,39.4,
XP_010023477.1,3.65,5,-28.1,6.57,53.4,
XP_010033801.1,3.5,5,-27.9,10.54,16.7,
XP_010046122.1,3.77,7,-27.6,8.51,41.8,
XP_010038942.1,3.67,5,-27.6,6,80.7,
XP_018722097.1,3.5,4,-27.5,5.89,37.4,
XP_010045109.1,3.72,6,-27.2,6.33,27.3,
XP_010059854.1,3.5,5,-26.9,6.11,80.3,
XP_010043430.1,3.51,5,-26.9,9.15,21.7,
XP_010034062.1,3.72,5,-26.9,5.48,30.8,
XP_010024143.1,3.59,3,-26.8,6.19,18.3,
XP_010027921.1,3.73,5,-26.7,8.45,24.7,
XP_010048991.1,3.63,4,-26.6,7.61,35.5,
XP_010035190.1,3.59,4,-26.6,8.59,32,
XP_010053313.1,3.54,4,-26.4,8.63,24.2,
XP_010066374.1,3.5,4,-26.3,5.58,49.1,
XP_010038091.1,3.57,4,-26.1,9.37,31.7,
XP_010051873.1,3.61,4,-25.9,8.38,60.4,
XP_010029512.1,3.53,5,-25.8,8.87,63.8,
XP_010028919.1,3.7,8,-25.7,9.1,9.6,
XP_010055809.1,3.35,3,-25.7,8.69,21.1,
XP_010067346.1,3.49,3,-25.6,5.25,56.7,
XP_010052710.1,3.62,5,-25.5,5.68,25.9,
XP_010053204.1,3.5,3,-25.4,5.01,41.3,
XP_010061927.1,3.74,5,-25.3,5.47,14.3,
XP_010051970.1,3.49,3,-25.2,6.06,22.5,
XP_010065219.1,3.45,4,-25.1,9.28,28.4,
XP_018715636.1,3.42,4,-24.7,4.85,41.3,
XP_010032630.1,3.57,4,-24.5,9.05,58.8,
XP_010048458.1,3.6,3,-24.4,8.64,23.3,
XP_010070215.1,3.44,4,-24.2,7.16,43.6,
XP_010059958.1,3.38,3,-24,5.8,27.3,
XP_010049961.1,3.58,5,-23.9,6.44,25.1,
XP_010031093.1,3.64,4,-23.7,6.71,26.5,
XP_010051872.1,3.57,4,-23.6,7.69,60.4,
KCW64912.1,3.85,6,-23.5,5.6,17.3,
XP_010035162.1,3.7,5,-23.5,6.35,49.1,
XP_010028313.1,3.48,4,-23.4,6.31,29.2,
XP_010069867.1,3.36,3,-23.1,8.39,83.2,
XP_018720584.1,3.57,5,-23,6.06,24.2,
XP_010044939.1,3.75,6,-22.9,9.41,31.9,
XP_010026673.1,3.47,3,-22.9,6.97,26.5,
XP_010058101.1,3.49,3,-22.7,9.27,33.9,
XP_010043744.1,3.37,3,-22.5,4.58,64.2,
XP_010033165.1,3.81,6,-22.5,10.39,17.5,
XP_018717539.1,3.48,4,-22.4,5.91,47.1,
XP_010066900.1,3.42,4,-22.3,9.16,26.1,
NP_001289660.1,3.59,4,-22.3,4.93,49.6,
XP_010059916.1,3.48,4,-22.2,6.37,81.7,
XP_018733199.1,3.47,3,-22.2,9.13,17,
XP_010033471.1,3.44,3,-22.1,9.46,13.5,
XP_018727115.1,3.57,4,-22.1,6.55,57.9,
XP_010052867.1,3.67,5,-22,9.59,61.3,
XP_010060040.1,3.69,6,-22,10.71,28.2,
XP_010059812.1,3.4,3,-22,6.88,50.8,
XP_010063805.1,3.59,6,-22,4.61,66.2,
XP_018719869.1,3.57,4,-21.9,8.61,88,
XP_010044646.1,3.6,4,-21.9,6.88,59,
XP_018717674.1,3.45,3,-21.7,9.44,30.1,
XP_010035736.1,3.52,3,-21.5,8.43,28.1,
XP_010063104.1,3.49,5,-21.4,9.24,60,
XP_010069259.2,3.54,4,-21.4,4.61,30.7,
XP_010069078.1,3.39,3,-21.4,7.27,49,
XP_010065863.1,3.62,5,-21.3,5.04,52.6,
XP_010063491.1,3.35,3,-21.3,9.33,17.6,
XP_010069110.1,3.58,4,-21.3,7.02,46.1,
XP_010023598.1,3.37,3,-21.2,9.23,33.3,
XP_010048829.1,3.49,3,-21.1,7.87,53.1,
XP_010056299.1,3.48,3,-21.1,6.89,24.6,
XP_010031680.1,3.37,3,-21,4.7,23.8,
XP_010043849.1,3.67,3,-21,8.34,25.6,
XP_010060993.1,3.49,4,-21,5.27,12.9,
XP_010024705.1,3.37,4,-21,4.53,19,
XP_010024747.1,3.48,3,-21,5.09,17.7,
XP_010058068.1,3.32,3,-20.9,8.9,22.4,
ADO23624.1,3.36,3,-20.9,9.13,13.6,
XP_018725414.1,3.57,5,-20.9,6.44,25.2,
XP_010043251.1,3.68,4,-20.9,4.89,19.6,
sp|RS27A_HUMAN|,3.99,22,-20.9,9.68,18, Ubiquitin-40S ribosomal protein S27a; Ubiquitin carboxyl extension protein 80; Contains: Ubiquitin; Contains: 40S ribosomal protein S27a; Small ribosomal subunit protein eS31 {ECO:0000303|PubMed:24524803}; Flags: Precursor; 
XP_010060049.1,3.57,3,-20.9,5.8,30.6,
XP_018733165.1,3.43,3,-20.8,5.38,31.2,
XP_010034641.1,3.44,3,-20.8,9.87,29.8,
XP_010029307.1,3.13,3,-20.7,9.1,26.3,
XP_010025755.2,3.68,4,-20.7,6.86,82.1,
XP_010060622.1,3.36,3,-20.6,10.63,21.2,
XP_010061414.1,3.26,2,-20.5,6.56,38.9,
XP_010066926.1,3.32,3,-20.5,10.39,17.1,
XP_010067610.1,3.62,4,-20.5,10.94,14.9,
XP_010032296.1,3.39,3,-20.4,8.76,21.4,
XP_018721531.1,3.63,4,-20.4,9.27,34.3,
XP_018731869.1,3.58,3,-20.2,5.09,97.5,
XP_010045037.1,2.91,2,-20.2,9.01,12.6,
XP_010043291.1,3.59,4,-20.2,9.4,11.8,
XP_010038281.1,3.25,3,-20.1,6.91,22,
XP_010035060.1,3.26,3,-20.1,7.13,69.9,
XP_010067384.1,3.62,4,-20,9.85,14.8,
XP_010060673.1,3.52,3,-20,6.98,46,
XP_010068989.1,3.64,5,-19.9,9.07,22.6,
XP_010062928.1,3.51,3,-19.9,6.09,21.9,
sp|K1C15_SHEEP|,3.5,4,-19.7,4.73,48.7," Keratin, type I cytoskeletal 15; Cytokeratin-15; CK-15; Keratin-15; K15; "
sp|CAS1_BOVIN|,3.44,5,-19.6,4.98,24.5, Alpha-S1-casein; Bos d 8; Contains: Antioxidant peptide; Flags: Precursor; 
