Identifier,log(I),rI,log(e),pI,Mr (kDa),Description
XP_010028214.1,3.83,9,-52.7,9.11,55.3,
XP_010035276.1,3.96,11,-52.2,9.68,24.5,
XP_010051417.1,4.06,14,-51.8,5.03,17.2,
XP_010036097.1,3.93,11,-51.5,8.67,29.2,
XP_010063732.1,4.11,13,-49.6,5.73,30.3,
XP_010066215.1,3.9,8,-49.5,8.13,42.9,
XP_010032010.1,3.82,9,-46.6,6.93,92,
XP_010027978.1,3.97,10,-46,8.77,57.1,
XP_010040215.1,3.97,9,-44.3,8.34,28.8,
XP_018730827.1,3.7,6,-44.3,5.26,26.5,
KCW76867.1,3.8,7,-44,10,13.8,
XP_010024738.1,3.81,7,-43.9,4.99,17.6,
XP_018717674.1,3.74,7,-43.7,9.44,30.1,
XP_010033217.1,3.77,7,-43.2,8.78,29.3,
sp|TRYP_PIG|,4.19,20,-42.8,6.85,24.4, Trypsin; EC 3.4.21.4; Flags: Precursor; 
XP_010047472.1,3.91,8,-42.7,6.75,37.6,
XP_010063935.1,3.71,5,-42.5,5.82,78.7,
XP_018732456.1,3.98,11,-41.6,8.48,48.1,
XP_010065599.1,3.82,9,-41.1,6.75,27.4,
XP_010057920.1,3.75,6,-41,6.12,40.8,
XP_010033712.1,3.94,11,-40.9,8.91,29,
sp|K1C9_HUMAN|,4.08,11,-40.9,5.19,62.1," Keratin, type I cytoskeletal 9; Cytokeratin-9; CK-9; Keratin-9; K9; "
XP_010037701.1,3.72,6,-39.8,5.48,30.9,
XP_018727805.1,3.77,8,-38.7,7.36,26.2,
XP_010065001.1,3.86,7,-38.7,6.19,28.1,
XP_010028812.1,3.74,7,-37.8,8.67,35.7,
XP_010064085.1,3.74,6,-37.8,5.82,42.2,
XP_010041738.1,3.66,6,-37.7,5.91,33.8,
XP_018728402.1,3.62,6,-37.2,5.29,28.2,
XP_010069156.1,3.6,4,-37.1,10.44,17.2,
XP_010069685.1,3.47,4,-36.1,9.82,14.4,
XP_018732861.1,3.75,7,-35.2,6.13,63.7,
KCW63886.1,4.05,11,-34.8,8.41,47.1,no description available
XP_010049664.1,3.76,7,-34.8,5.55,17.3,
XP_010043679.1,3.67,7,-34.4,5.29,27.3,
XP_010047451.1,3.69,5,-34.2,9.68,23.3,
XP_010056208.1,3.54,5,-33.8,6.52,45.2,
XP_018716770.1,3.71,5,-33.4,6.03,111.1,
XP_010033825.1,3.88,8,-33.2,9,29.5,
XP_010028715.1,3.65,5,-32.9,8.76,81.2,
XP_010066088.1,3.96,12,-32.8,6.64,49.8,
XP_010042449.2,3.46,5,-32.6,5.45,22.3,
XP_010063408.1,3.64,5,-32.5,8.13,44.9,
XP_018732053.1,3.84,5,-32.2,8.66,26.5,
XP_010053313.1,3.65,5,-31.9,8.63,24.2,
XP_010063308.1,4.01,12,-31.5,8.99,24.6,
XP_010045506.1,3.85,7,-31.2,8.75,28.2,
XP_010066265.1,3.78,6,-30.8,6.29,18.8,
XP_010025353.1,3.86,7,-30.4,7.02,36.6,
XP_010066667.1,3.71,6,-30.4,6.3,60.8,
XP_010041954.1,4.01,11,-29.7,5.64,15.3,
XP_010051063.1,3.96,9,-29.6,4.93,17.2,
XP_010049517.1,3.9,9,-29.4,6.02,21.7,
XP_010066382.2,3.56,5,-29.1,7.59,27.5,
XP_010029673.1,3.88,9,-28.9,8.77,40.8,
XP_010067582.1,3.56,4,-28.8,9.49,34.5,
XP_010025755.2,3.94,8,-28.4,6.86,82.1,
XP_010025114.1,3.58,5,-28.4,5.76,15.2,
XP_010068511.2,3.93,11,-28.2,5.87,47.1,
XP_010065527.1,3.61,5,-27.9,6.23,84.2,
XP_010046355.2,3.8,7,-27.8,5.17,19.2,
XP_010032055.1,3.83,7,-27.4,6.08,27.3,
XP_010029375.1,3.72,5,-27.3,8.48,29.4,
XP_010063287.1,4.03,10,-27.2,4.96,17,
XP_010045878.1,3.52,6,-27,5.46,28.6,
XP_010057104.1,3.71,5,-25.9,5.54,57.5,
XP_010028899.1,3.64,5,-25.6,8.45,42.8,
XP_010047753.1,3.59,3,-25.5,9.6,36.6,
XP_010059179.1,3.57,4,-25.4,9.18,52.8,
XP_010059895.1,3.35,3,-25.2,5.63,51.8,
KCW82145.1,4.02,12,-24.5,5.68,19.8,no description available
XP_010027701.1,3.8,6,-24.5,5.31,41.7,
XP_010037848.1,3.65,5,-23.6,11.48,11.4,
XP_010055874.1,3.43,3,-23.4,6.16,38,
ADO23574.1,3.7,6,-22.8,5.13,38.9,no description available
XP_010058569.1,3.72,5,-22.4,9.82,22.9,
XP_010053589.1,3.74,6,-22.1,5.04,17.3,
XP_010044264.1,3.8,8,-21.8,8.86,20,
XP_010067511.1,3.44,4,-21.4,5.04,34.3,
ADO23586.1,3.59,5,-21,5.33,39.5,no description available
XP_018722607.1,3.7,4,-20.9,6.5,23.9,
XP_010033508.2,3.78,6,-20.7,5.63,113.6,
XP_010037684.1,3.53,4,-20.4,10.28,29.9,
XP_010036664.1,3.5,3,-20.2,9.94,14.7,
XP_010038001.1,3.59,4,-20,9.65,13.7,
KCW45190.1,3.72,4,-19.2,6.52,22.2,
XP_018715447.1,3.51,3,-19.2,8.87,23.3,
XP_010044556.1,3.33,3,-19.1,8.52,42.6,
XP_010023565.1,3.72,4,-19,9.17,41.8,
XP_018728606.1,3.56,3,-19,6.3,42.9,
XP_018732437.1,3.62,6,-18.6,5.16,43.9,
XP_010044046.1,3.57,3,-18.5,5.25,44.6,
XP_018728580.1,3.49,4,-17.8,8.8,17.8,
XP_018731179.1,3.49,3,-17.7,5.35,82.7,
ADO23587.1,3.72,6,-17.7,6.68,51.8,no description available
XP_010042867.2,3.55,4,-17.5,8.46,26,
XP_010069607.1,3.29,2,-17.2,10.68,15.6,
XP_010032624.1,3.69,5,-17.1,4.76,29.7,
XP_010063513.1,3.77,5,-17.1,9.14,39.8,
XP_010035421.1,3.3,4,-17,6.73,20.8,
XP_018726917.1,3.35,3,-17,8.89,26.8,
XP_010055873.1,3.34,4,-16.9,6.01,51.8,
XP_018716987.1,3.15,2,-16.9,8.73,29.9,
XP_010024830.1,3.39,3,-16.8,7.23,53.3,
XP_010055735.1,3.73,7,-16.6,4.46,29.4,
XP_018729134.1,3.08,2,-16.5,7.8,18.6,
XP_010044926.1,3.45,3,-16.5,5.59,64.4,
XP_018717371.1,3.07,2,-16.2,6.01,45.2,
XP_018718547.1,3.15,2,-16,4.7,51.5,
XP_010067525.1,3.5,4,-15.9,5.85,30.3,
XP_010037962.1,3.43,4,-15.8,8.81,17.7,
XP_010029385.1,3.5,2,-15.6,5.07,24.4,
XP_010030127.1,3.68,4,-15.2,4.4,15.5,
XP_010053434.1,3.29,2,-15,5.95,31.2,
XP_010044623.1,3.45,3,-15,7.57,28.1,
XP_010065272.1,3.42,3,-14.9,5.5,75.8,
XP_010024759.1,3.42,3,-14.7,5.14,17.7,
XP_018732194.1,3.31,3,-14.7,5.91,27.2,
XP_010028699.1,3.4,3,-14.6,9.3,56.1,
XP_010031766.1,3.35,2,-14.6,4.98,22.5,
XP_010030657.1,3.24,4,-14.4,8.41,32.2,
XP_018723759.1,3.24,2,-14.4,9.54,14.6,
XP_010063743.1,3.32,2,-14.4,9.01,15.2,
XP_010024756.1,3.46,2,-14.3,5.14,17.6,
XP_010069263.2,3.31,2,-13.9,4.51,54.4,
XP_010067046.1,3.35,2,-13.7,5.35,46.1,
XP_010067422.1,3.56,3,-13.6,6.77,20.2,
ADO23614.1,3.33,3,-13.5,6.54,56,no description available
XP_010053907.1,3.42,3,-13.1,6.29,80.2,
XP_018728100.1,3.09,2,-13,6.49,39.5,
XP_010024463.1,3.34,3,-12.5,6.18,21.8,
XP_010066927.1,3.44,3,-12.5,10.45,17.2,
XP_010025930.1,3.26,2,-12.3,5.45,18.4,
XP_010033373.1,3.23,2,-12.3,8.03,30.9,
XP_018731969.1,3.28,2,-12.2,5.38,46.7,
XP_010041869.1,3.47,4,-12.2,6.07,29.9,
XP_010069118.1,3.22,2,-12.2,10.41,15.5,
XP_010035363.1,3.19,2,-12.1,5.57,44.4,
XP_010044902.1,3.49,3,-12.1,4.75,61.3,
XP_010058812.1,3.24,2,-11.9,5.8,47.4,
XP_018720304.1,3.61,3,-11.8,4.57,24.1,
XP_018727338.1,3.53,4,-11.7,10.9,13.2,
XP_010025126.1,3.26,2,-11.7,10.28,14.9,
XP_010060483.1,3.19,2,-11.7,6.19,29.3,
XP_010028919.1,3.4,3,-11.6,9.1,9.6,
XP_010049746.1,3.47,3,-11.5,8.51,80.1,
XP_010052188.1,3.95,7,-11.4,4.87,57.4,
XP_010047138.1,3.11,2,-11.4,6.64,21.4,
XP_010057240.1,3.39,2,-11.3,10.26,29.8,
XP_010042782.2,3.28,2,-11.2,5.42,23.8,
XP_010065642.1,3.14,2,-11.1,9.45,31.5,
sp|K22E_HUMAN|,3.25,2,-11.1,8.07,65.8," Keratin, type II cytoskeletal 2 epidermal; Cytokeratin-2e; CK-2e; Epithelial keratin-2e; Keratin-2 epidermis; Keratin-2e; K2e; Type-II keratin Kb2; "
ADO23638.1,3.29,3,-11.1,6.67,9,no description available
XP_010045047.1,3.11,2,-11.1,8.15,44.1,
XP_010051873.1,2.91,2,-11,8.38,60.4,
XP_010030753.1,3.2,2,-10.9,9.34,19.1,
XP_010043430.1,3.21,2,-10.8,9.15,21.7,
XP_010067882.1,3.39,2,-10.7,6.42,32.7,
XP_010035192.1,3.27,2,-10.7,8.71,32.3,
XP_010067669.1,3.41,2,-10.5,4.38,21.9,
XP_010069833.1,3.25,2,-10.2,7.7,32.5,
XP_010024713.1,3.26,2,-10.2,9.47,14.2,
XP_010047106.1,3.38,2,-10,6.63,59.7,
NP_001289663.1,3.4,2,-10,5.78,51.9,
XP_010048942.1,3.33,2,-9.9,8.72,35.6,
XP_010036149.1,3.5,2,-9.9,9.01,43.1,
XP_010055036.2,3.32,2,-9.9,7.24,98,
XP_010037503.1,3.57,2,-9.9,6.12,53.3,
ADO23596.1,3.56,3,-9.8,5.18,14.6,no description available
XP_010061103.1,3.42,2,-9.8,6.5,25.9,
KCW49413.1,3.66,6,-9.6,4.89,22.1,
XP_010043227.1,2.94,1,-9.6,9.08,26.7,
XP_010041232.1,3.24,2,-9.5,8.45,20.5,
XP_018725118.1,3.2,2,-9.5,6.59,15.2,
XP_010033471.1,3.07,2,-9.4,9.46,13.5,
XP_010058101.1,3.07,2,-9.3,9.27,33.9,
ADO23590.1,3.3,2,-9.2,6.58,82.4,no description available
XP_010027844.1,3.34,3,-9.2,5.43,20.4,
XP_010032395.1,3.21,2,-9.2,10.24,25.9,
XP_018729774.1,2.97,2,-9.1,9.16,27.3,
KCW54641.1,3.58,4,-8.9,8.57,48.2,no description available
XP_010042063.1,3.17,2,-8.9,8.95,44.4,
XP_010034097.1,3.17,2,-8.9,5.39,54.4,
XP_018718273.1,2.92,2,-8.8,6.46,54.5,
XP_010060297.1,3.14,1,-8.8,8.56,26.8,
XP_010037925.1,3.29,3,-8.8,10.48,44.9,
XP_010029077.1,3.37,2,-8.7,6.91,23.3,
XP_018732846.1,3.23,2,-8.7,5.02,39,
XP_010053763.1:reversed,3.52,2,-8.7,6.25,56.2,
XP_010047838.1,3.02,1,-8.6,9.52,23.3,
XP_010062247.1,3.07,2,-8.5,5.62,41.3,
XP_010029741.1,3.21,2,-8.4,9.44,36.7,
XP_010060042.1,3.51,3,-8.4,4.72,29.2,
XP_010055611.1,3.22,2,-8.3,6.27,25.4,
XP_018721419.1,3.4,2,-8.2,9.61,32.2,
XP_010030204.1,3.27,2,-8.1,6.21,23.8,
XP_010031680.1,3.33,2,-8.1,4.7,23.8,
ADO23579.1,3.32,2,-8,6.84,20.8,no description available
XP_010028730.1,2.84,1,-8,9.21,17.4,
XP_010032204.1,3.05,2,-8,5.84,26.6,
XP_010031259.1,3.24,2,-8,6.55,42,
XP_010025256.1,3.14,1,-7.9,11.25,21,
XP_010066035.1,3.28,2,-7.9,5.44,35.9,
XP_010030656.1,3,1,-7.8,9.38,35.7,
XP_010063836.1,3.49,3,-7.7,5.28,38.4,
XP_010067611.1,3.32,2,-7.7,7.83,25.6,
XP_010061685.1,2.72,1,-7.7,8.46,27.7,
XP_010037863.1,3.21,2,-7.7,10.58,15.8,
XP_010052710.1,3.29,2,-7.7,5.68,25.9,
XP_010066729.1,3.35,2,-7.7,5.93,102.2,
XP_010024340.1,3.11,2,-7.7,6.13,76,
XP_010052197.1,3.1,2,-7.6,8.42,40.1,
XP_010046851.1,3.08,2,-7.6,6.07,27.4,
XP_018733369.1,3.34,2,-7.6,5.86,72.9,
XP_010060049.1,3.35,2,-7.6,5.8,30.6,
XP_010057233.1,3.17,2,-7.5,10.26,29.8,
XP_010037170.1,3.19,2,-7.5,7.63,43.3,
XP_010053632.1,3.18,2,-7.5,4.62,38.1,
XP_010023598.1,3.37,2,-7.3,9.23,33.3,
XP_010032019.1,3.28,2,-7.3,11.51,10.9,
XP_010028113.1,3.44,2,-7.3,9.17,35.8,
XP_010028435.1,2.78,1,-7.2,10.34,16.4,
XP_010041840.1,3.19,2,-7.2,5.86,39.4,
XP_010048489.1:reversed,3.42,2,-7.2,6.09,109.4,
XP_010037749.1,3.3,2,-7.2,7.59,86.5,
XP_010068141.2,3.35,2,-7.1,5.62,185.3,
XP_010024230.1,2.99,2,-7.1,9.88,29.8,
XP_010065899.1,3.31,2,-7.1,5.27,71,
XP_010063241.1,3.28,2,-7,4.94,80.5,
XP_010032130.1,3,1,-7,6.43,47.8,
XP_010029688.1:reversed,3.31,2,-7,6.92,437.3,
XP_010047378.1,3.52,2,-6.9,8.71,39.6,
XP_010063137.1,2.98,1,-6.9,7.75,16.2,
XP_010057889.1,3.35,2,-6.9,6,32.9,
XP_010023477.1,3.16,2,-6.9,6.57,53.4,
XP_018729866.1,3.13,2,-6.8,7.67,64.9,
XP_010052814.1,2.62,1,-6.8,5.09,37.3,
XP_010028974.1,3,2,-6.7,10.22,29.3,
KCW79351.1,3.36,2,-6.7,4.67,138.2,
XP_018718813.1,3.1,2,-6.7,5.93,35.6,
sp|TRFL_HUMAN|,3.27,2,-6.7,8.5,78.1,
XP_010025154.1,3.1,2,-6.7,7.64,32,
XP_010029555.1,3.43,2,-6.7,5.89,132.1,
sp|ALBU_BOVIN|,3.03,1,-6.6,5.82,69.2, Serum albumin; BSA; Bos d 6; Flags: Precursor; 
XP_010032621.1,3.47,2,-6.5,9.15,58.4,
XP_010037432.1,3.34,2,-6.5,9.03,36.4,
XP_010044670.1,2.87,1,-6.4,8.04,43.4,
XP_010023934.1,2.68,1,-6.4,6.6,35.6,
XP_010043791.1,3.2,2,-6.4,5.16,61.2,
XP_010039555.1,3.32,2,-6.3,4.34,49.1,
XP_010041423.1,2.89,1,-6.2,5.5,40.8,
XP_010033863.1,2.81,1,-6.2,9.95,15,
XP_010030040.1,3.36,2,-6.1,8.93,38.3,
XP_010063653.1,3.1,1,-6.1,9.97,28.4,
XP_010042296.1,3.08,1,-6,10.11,15.8,
XP_018728764.1,2.9,1,-6,8.18,28.6,
XP_010060582.1,3.43,2,-6,4.86,32.1,
XP_018729627.1,3.48,2,-6,9.49,30.4,
KCW65861.1:reversed,3.05,2,-6,6.33,41.1,
XP_010039803.1,2.7,1,-5.9,6.89,31.8,
XP_010047334.1,3.5,2,-5.9,6.74,114.5,
XP_010063827.1,3.11,1,-5.9,10.56,17.6,
XP_010033655.1,3.15,1,-5.9,4.69,25.9,
XP_010031710.1,2.96,2,-5.9,5.95,57.5,
XP_010026912.1,2.97,1,-5.9,6.52,21.2,
ADO23594.1,2.84,1,-5.8,6.58,18.6,
XP_010036234.1:reversed,3.27,2,-5.8,6.61,119.5,
XP_018723237.1,2.99,1,-5.8,4.54,28.6,
XP_018717500.1,3.47,2,-5.8,9.5,66.4,
XP_010030961.1,3.35,2,-5.7,6.13,27.2,
ADO23617.1,2.7,1,-5.7,6.03,7.7,no description available
XP_018715636.1,3.06,1,-5.6,4.85,41.3,
XP_010055889.1,2.96,1,-5.6,4.83,30.5,
XP_010040207.1,3.04,1,-5.6,4.85,37.5,
XP_010062212.1,3.56,3,-5.6,4.55,72.3,
XP_010053520.1,2.94,1,-5.5,7.63,37,
XP_010043171.1,2.82,1,-5.4,9.21,11.7,
XP_010033583.1,3.17,1,-5.2,7.75,17,
XP_010056276.1,2.97,1,-5.2,5.46,43,
XP_018717231.1,2.61,1,-5.2,4.98,41.2,
XP_010039930.1,3.04,1,-5.1,6.75,20.9,
XP_010037271.1,2.85,1,-5.1,9.82,13.3,
XP_010066221.1,3.02,1,-5,8,13.9,
XP_010032071.1,3.08,1,-5,5.2,32.2,
KCW68667.1,2.96,1,-5,10.74,9.4,
XP_010061512.1,2.79,1,-4.9,4.78,28.3,
XP_010033665.1,3.24,1,-4.9,4.92,34,
XP_010023861.1,2.65,1,-4.8,10.54,13.7,
XP_010028902.1,3.07,1,-4.8,9.13,20.1,
XP_010067346.1,2.9,1,-4.7,5.25,56.7,
XP_010063537.1,2.39,1,-4.5,5.5,43.5,
XP_010062928.1,2.99,1,-4.4,6.09,21.9,
XP_010069589.1,3.08,1,-4.4,5.58,55.4,
XP_010055809.1,3.02,1,-4.3,8.69,21.1,
XP_010048664.1,3.04,1,-4.3,9.92,19.9,
sp|CAS1_BOVIN|,2.97,1,-4.2,4.98,24.5, Alpha-S1-casein; Bos d 8; Contains: Antioxidant peptide; Flags: Precursor; 
XP_010025830.2,3.2,1,-4.2,5.72,45,
XP_010063760.1,2.99,1,-4.2,5.5,25.7,
XP_010033636.1,2.96,2,-4.2,6.14,47.7,
XP_010064092.1,2.88,1,-4.2,4.97,45.5,
XP_018730768.1,2.61,1,-4.2,6.18,71.5,
XP_010062488.1,2.94,1,-4.1,10.09,15.2,
XP_010043237.1,2.73,1,-4.1,5.05,31.2,
XP_010060252.1,3.09,1,-4,10.44,25,
XP_010046987.1,3.09,2,-4,8.77,29.2,
XP_010035150.1,2.95,1,-4,11.32,12.4,
XP_010032895.1,2.88,1,-3.9,4.38,19.9,
XP_018716868.1,2.88,1,-3.9,6.18,39.9,
XP_010041508.1,2.84,1,-3.9,4.97,19.3,
XP_018717197.1,3,1,-3.9,8.47,37.4,
XP_018719941.1,3.04,1,-3.9,5.57,61.9,
XP_010047111.1,3.23,1,-3.9,5.6,17.5,
XP_018717102.1,2.84,1,-3.9,9.12,28.8,
XP_010062800.1,3.01,1,-3.9,8.38,43.2,
XP_010036197.1,3.25,2,-3.8,8.84,27.8,
XP_010059614.1,3.06,1,-3.8,5.63,47.1,
XP_010030181.1,3.11,1,-3.8,8.87,29.7,
XP_010029146.1,3.05,1,-3.8,7.72,11.2,
XP_018720975.1,2.76,1,-3.7,6.54,58.2,
KCW78860.1:reversed,2.95,1,-3.7,9.24,28.3,
XP_010063754.1,2.82,1,-3.6,4.7,67.9,
XP_010060622.1,2.97,1,-3.6,10.63,21.2,
XP_010032881.1,3.4,2,-3.6,7.92,20.9,
XP_010036821.1,3.09,2,-3.6,8.09,29.7,
XP_010054325.1,2.98,1,-3.5,5.64,52.1,
XP_010068989.1,2.96,2,-3.5,9.07,22.6,
XP_010035998.1,3,1,-3.5,9.3,11.7,
XP_010031626.2,2.65,1,-3.4,6.45,29.6,
XP_010048829.1,3.05,1,-3.4,7.87,53.1,
XP_010057365.1,3.18,1,-3.4,9.69,45.5,
XP_018721531.1,2.9,1,-3.4,9.27,34.3,
XP_010029606.1,2.88,1,-3.4,9.08,29.6,
XP_010028184.1,2.81,1,-3.4,8.27,58.2,
XP_010056284.1,3.4,2,-3.4,4.57,25.4,
XP_010030470.1,3.26,1,-3.3,5.65,27.7,
XP_010032735.1,3.15,1,-3.3,9.18,48.9,
XP_010070252.1,3.16,1,-3.3,6.48,48.9,
XP_010027676.1,2.94,1,-3.3,9.29,42.4,
XP_018730801.1,3.22,2,-3.2,5.5,36.2,
XP_010053269.1,2.95,1,-3.2,5.16,19.5,
XP_010049881.1,3.05,1,-3.2,10.55,14.4,
XP_010042338.1,2.94,1,-3.2,9.51,16.9,
XP_010067125.1,2.96,1,-3.1,10.09,16,
XP_010048429.1,3.08,1,-3.1,5.41,39.9,
XP_010031373.1,2.94,1,-3.1,6.39,34.5,
XP_010024397.1,2.93,1,-3.1,5.13,25.4,
XP_010033868.1,2.95,1,-3.1,5.23,23.2,
XP_010055111.1,3.04,1,-3.1,8.37,40.6,
XP_010043379.1,2.94,1,-3.1,6.21,184.2,
XP_010069144.1,3.19,1,-3.1,9.49,18.1,
XP_010032064.1,2.82,1,-3,9.74,22,
XP_010036199.1,3.21,1,-3,8.64,28,
XP_010046130.2,2.67,1,-3,7.05,46.4,
XP_010037014.1,3,1,-3,5.37,65.7,
XP_010062205.1,2.73,2,-3,9.08,10.8,
XP_010028205.1,2.78,1,-3,5.01,39.5,
XP_010037305.1,2.65,1,-2.9,7.67,30,
XP_018730765.1,3,1,-2.9,9.36,25.6,
XP_010024951.1,3.19,1,-2.9,9.69,28,
XP_010048945.1,2.82,1,-2.9,8.81,35.8,
XP_010047476.1,2.74,1,-2.9,6.46,39.4,
XP_010061994.1,2.93,1,-2.8,9.43,25.8,
XP_018718705.1,3.15,1,-2.8,6.83,94.7,
XP_010059954.1,2.94,1,-2.8,6.72,38.1,
XP_010053641.1,3.12,1,-2.8,5.1,31.2,
XP_010068097.1,2.98,1,-2.8,8.33,76.6,
sp|K1C15_SHEEP|,3.02,1,-2.8,4.73,48.7," Keratin, type I cytoskeletal 15; Cytokeratin-15; CK-15; Keratin-15; K15; "
XP_010055535.1,2.87,1,-2.8,8.14,15.9,
XP_010029817.1,3.07,1,-2.8,9.3,16.9,
XP_010032739.1,3.32,2,-2.8,9,27,
XP_010070035.1,2.63,1,-2.8,6.13,28.1,
XP_018719790.1,3.3,2,-2.8,8.13,16.2,
XP_010037205.1,2.84,1,-2.7,8.63,60,
XP_010034937.2:reversed,3,1,-2.7,7.27,44.4,
XP_010032296.1,3.08,1,-2.7,8.76,21.4,
XP_010062799.1,3.4,2,-2.7,8.53,36,
XP_010033466.1,3.17,1,-2.7,5.68,53.9,
XP_010044631.1,2.87,1,-2.7,6,51,
XP_010035248.1,2.63,1,-2.7,9.73,23.2,
XP_010048490.1,2.84,1,-2.7,5.05,25.3,
XP_010029093.1,2.96,1,-2.7,6,43.1,
XP_010061433.1,2.49,1,-2.7,8.84,35.9,
KCW66947.1:reversed,3.18,1,-2.6,7.07,78.6,
XP_010031331.1,2.92,1,-2.6,6.56,35.6,
XP_010048285.1,2.94,1,-2.6,9.56,30.8,
XP_018716318.1,3.05,1,-2.6,5.43,26.1,
XP_010062160.1,2.75,1,-2.6,6.23,52.8,
XP_010056091.1,3.01,1,-2.6,5.44,18.4,
XP_018729084.1,3.28,1,-2.6,4.47,18.9,
XP_010028870.1,2.83,1,-2.6,5.3,49,
XP_010025333.1,2.94,1,-2.6,6.25,29.4,
XP_010030447.1:reversed,2.95,1,-2.6,9.44,128.5,
XP_010067585.1:reversed,3.11,1,-2.6,5.46,68.5,
KCW79278.1:reversed,3.02,1,-2.6,9.48,13.6,
XP_010064833.1:reversed,2.92,1,-2.5,9.61,15.4,
KCW53482.1,3.15,1,-2.5,9.42,7.9,
XP_010038695.2,2.63,1,-2.5,6.24,76,
XP_018728118.1:reversed,3.05,1,-2.5,6.59,105.2,
XP_010056136.1,3.02,1,-2.5,8.89,43.8,
XP_018717428.1,3.07,1,-2.5,6.24,11.5,
XP_010047344.1:reversed,3.11,1,-2.5,4.87,38.8,
XP_010064666.1,3.06,1,-2.5,5.95,18.1,
XP_018720664.1,2.99,1,-2.5,5.99,114.2,
XP_010061864.1,2.56,1,-2.4,9.16,27.3,
XP_010069596.1,3.13,1,-2.4,4.65,16.5,
XP_010042783.1,3.12,1,-2.4,5.91,31.8,
XP_010065294.2,2.94,1,-2.4,6.75,20,
XP_018732042.1,3.38,2,-2.4,6.78,15.7,
XP_010025061.2,2.82,1,-2.4,9.7,49.8,
KCW65298.1,2.98,1,-2.4,7.52,35.8,
XP_010035760.1,3.07,1,-2.4,6.53,50.9,
XP_010058943.1,2.7,1,-2.4,4.75,16.1,
XP_010036587.1,3.05,1,-2.3,8.89,26.7,
XP_010053664.1:reversed,3.01,1,-2.3,5.9,89.9,
XP_010029481.1:reversed,3.31,1,-2.3,6.72,14.4,
XP_010029355.1:reversed,2.9,1,-2.3,5.6,35.8,
XP_010053062.1:reversed,3.15,1,-2.3,10.14,60.2,
XP_018724374.1,2.7,1,-2.3,7.7,41.2,
XP_010044554.1,2.75,1,-2.3,9.15,57.2,
XP_010064526.1,2.88,1,-2.3,5.03,25.8,
XP_010070456.1,2.68,1,-2.3,5.65,76.4,
XP_010057331.2,3.06,1,-2.3,5.3,119.5,
KCW89193.1:reversed,2.85,1,-2.3,11.04,14.4,
XP_010034996.1,2.89,1,-2.3,10.11,12.1,
XP_010057118.1,3.15,1,-2.3,4.61,49.3,
XP_018724138.1:reversed,2.91,1,-2.3,5.34,13.4,
