Identifier,log(I),rI,log(e),pI,Mr (kDa),Description
XP_010065527.1,3.97,11,-65.5,6.23,84.2,
XP_018718395.1,4.15,23,-65.4,6.52,29.3,
XP_018727808.1,4.05,12,-64.3,8.52,24.2,
XP_010061201.1,4.08,11,-64.2,7.09,48.2,
XP_010063132.2,4.06,16,-59.6,6.77,56.8,
XP_010032637.1,4.05,19,-59.3,9.1,20.2,
XP_010050038.1,3.75,6,-56.6,5.32,47.7,
ADO23598.1,4.2,16,-56.5,6.04,52.7,no description available
XP_010024640.1,3.97,11,-54.9,8.4,24.1,
XP_010066256.1,4.3,19,-54.8,8.7,18,
XP_010028214.1,3.81,9,-50.4,9.11,55.3,
XP_010040215.1,3.93,8,-50.1,8.34,28.8,
XP_010044150.1,3.73,7,-49.4,6,59.6,
ADO23578.1,3.93,9,-49.2,5.15,55.5,no description available
XP_010060861.1,3.51,6,-47.9,8.74,50.1,
XP_010033217.1,3.96,8,-46.9,8.78,29.3,
sp|TRYP_PIG|,4.31,20,-46.7,6.85,24.4, Trypsin; EC 3.4.21.4; Flags: Precursor; 
XP_010030704.1,3.93,14,-46.5,5.45,45,
XP_010030657.1,4.01,13,-46,8.41,32.2,
XP_018726917.1,3.71,6,-45.1,8.89,26.8,
KCW53179.1,3.72,6,-44.3,5.8,96.8,
XP_010063308.1,3.92,10,-44.2,8.99,24.6,
XP_018717674.1,3.95,11,-43.1,9.44,30.1,
XP_018732861.1,3.74,5,-42.6,6.13,63.7,
XP_010051417.1,3.82,8,-42.5,5.03,17.2,
XP_010053313.1,3.73,7,-42.4,8.63,24.2,
XP_010056208.1,3.82,7,-41,6.52,45.2,
XP_010047472.1,4,14,-40,6.75,37.6,
XP_010061415.1,3.81,8,-39.7,6.78,38.2,
XP_010066265.1,3.99,10,-38.4,6.29,18.8,
XP_010032010.1,3.5,5,-37.9,6.93,92,
sp|ALBU_BOVIN|,3.57,5,-35.8,5.82,69.2, Serum albumin; BSA; Bos d 6; Flags: Precursor; 
XP_010062799.1,4.06,9,-35.2,8.53,36,
XP_018732053.1,3.73,5,-35,8.66,26.5,
XP_010037305.1,3.52,4,-34.6,7.67,30,
KCW53175.1,3.63,4,-34.5,5.47,112.8,
XP_010068511.2,3.92,12,-34.1,5.87,47.1,
XP_010030046.1,3.84,7,-32.1,9.07,32.4,
XP_010045506.1,3.67,6,-31,8.75,28.2,
XP_018730827.1,3.55,5,-30.5,5.26,26.5,
XP_010037701.1,3.39,4,-30.1,5.48,30.9,
XP_010025755.2,3.7,7,-29.9,6.86,82.1,
XP_018728502.1,3.39,3,-29.6,4.51,30.9,
XP_010065599.1,3.74,7,-29.5,6.75,27.4,
XP_010028812.1,3.81,10,-29.1,8.67,35.7,
XP_010067582.1,3.74,4,-28.9,9.49,34.5,
XP_010068510.2,3.98,10,-27.7,6.55,22.5,
XP_010052188.1,3.67,6,-27.5,4.87,57.4,
XP_010061009.1,3.74,6,-27.2,5.5,39.9,
XP_018718646.1,3.61,5,-26.9,9.41,56.3,
XP_018727840.1,3.47,4,-26.8,6.6,70.5,
XP_010027978.1,3.91,8,-26.8,8.77,57.1,
XP_010040220.1,3.73,5,-26.8,5.06,25.9,
XP_010036097.1,3.84,8,-26.4,8.67,29.2,
XP_010030961.1,3.59,4,-25.3,6.13,27.2,
XP_010055735.1,3.71,5,-25.2,4.46,29.4,
XP_010041954.1,3.76,5,-25,5.64,15.3,
XP_018727805.1,3.61,7,-24.9,7.36,26.2,
XP_010043318.1,3.89,7,-24.7,9.87,15,
XP_010028648.1,3.46,5,-24.1,8.13,43,
XP_010029093.1,3.61,4,-23.8,6,43.1,
XP_010063935.1,3.7,5,-23.8,5.82,78.7,
XP_010033712.1,3.57,4,-23.3,8.91,29,
XP_010029673.1,3.63,5,-23.2,8.77,40.8,
XP_010028899.1,3.54,4,-23,8.45,42.8,
XP_010057882.1,3.51,4,-22.9,5.37,36.2,
XP_018717371.1,3.58,4,-22.6,6.01,45.2,
XP_010059895.1,3.3,4,-22.4,5.63,51.8,
XP_010025353.1,3.48,4,-22.2,7.02,36.6,
KCW71587.1,3.54,4,-21.9,6,31,
XP_010061103.1,3.44,3,-21.7,6.5,25.9,
XP_018716770.1,3.73,5,-21.4,6.03,111.1,
XP_010044623.1,3.67,5,-20.9,7.57,28.1,
XP_010034168.1,3.3,3,-20.5,6.46,47,
XP_010056020.1,3.59,5,-20.5,9.29,13.3,
sp|OVAL_CHICK|,3.38,3,-20,5.19,42.9,
XP_010049597.1,3.29,3,-19.4,5.81,54.5,
XP_010043250.1,3.47,3,-19.1,7.7,30.9,
XP_010049664.1,3.52,4,-18.9,5.55,17.3,
XP_010024830.1,3.46,4,-18.7,7.23,53.3,
XP_010044903.1,3.57,3,-18.6,4.62,61.8,
XP_010062276.1,3.53,5,-18.6,5.78,39.2,
XP_010063408.1,3.43,2,-18.2,8.13,44.9,
XP_010056283.1,3.34,3,-18,4.62,25.3,
XP_010063513.1,3.47,3,-17.8,9.14,39.8,
XP_010028715.1,3.55,4,-17.8,8.76,81.2,
XP_010029385.1,3.56,3,-17.6,5.07,24.4,
XP_010027701.1,3.59,4,-17.6,5.31,41.7,
XP_010066951.1,3.44,4,-17.3,7.02,29.6,
XP_010053426.1,3.39,3,-17.3,5.85,65.1,
XP_010043237.1,3.48,3,-17.1,5.05,31.2,
XP_010024151.1,3.74,4,-17,8.78,42.5,
XP_010029375.1,3.63,4,-16.9,8.48,29.4,
XP_010057104.1,3.73,6,-16.8,5.54,57.5,
XP_010023934.1,3.46,3,-16.8,6.6,35.6,
XP_010046355.2,3.73,6,-16.7,5.17,19.2,
XP_010039275.1,3.81,5,-16.6,5.77,33.4,
XP_010052814.1,3.36,3,-15.9,5.09,37.3,
XP_010063836.1,3.68,6,-15.6,5.28,38.4,
XP_010036726.1,3.01,4,-15.3,6.56,38.5,
NP_001289663.1,3.29,3,-15.1,5.78,51.9,
ADO23638.1,2.97,2,-15,6.67,9,no description available
XP_010061721.1,3.2,3,-14.8,4.83,51.9,
XP_010036197.1,3.4,3,-14.8,8.84,27.8,
XP_010023477.1,3.54,3,-14.8,6.57,53.4,
XP_010049961.1,3.42,3,-14.7,6.44,25.1,
XP_018732437.1,3.73,8,-14.7,5.16,43.9,
XP_010058812.1,2.99,2,-14.4,5.8,47.4,
XP_010042063.1,3.13,2,-14.3,8.95,44.4,
XP_010055036.2,3.29,2,-14.1,7.24,98,
XP_018722607.1,3.5,3,-13.8,6.5,23.9,
XP_010049662.1,3.26,2,-13.4,7.77,38.5,
KCW83980.1,3.42,3,-13,9.15,58.4,
XP_010063287.1,3.79,5,-13,4.96,17,
XP_018730801.1,3.5,4,-13,5.5,36.2,
XP_010063732.1,3.4,3,-13,5.73,30.3,
XP_010028936.1,3.17,2,-12.7,5.81,114.4,
XP_018717197.1,3.58,4,-12.7,8.47,37.4,
XP_010060663.1,3.5,4,-12.5,8.52,36.2,
XP_010032881.1,3.73,4,-12.3,7.92,20.9,
XP_018728100.1,3.21,2,-12.1,6.49,39.5,
XP_010069076.1,3.57,3,-12.1,8.44,48.5,
XP_010056879.1,3.38,3,-12,5.29,28.2,
XP_018715636.1,3.16,2,-12,4.85,41.3,
XP_010067525.1,3.25,2,-11.9,5.85,30.3,
XP_010048387.1,2.97,2,-11.8,4.32,23.9,
XP_010031366.1,3.21,2,-11.7,8.04,63.5,
XP_010044556.1,3.06,3,-11.6,8.52,42.6,
sp|K1C15_SHEEP|,3.75,5,-11.3,4.73,48.7," Keratin, type I cytoskeletal 15; Cytokeratin-15; CK-15; Keratin-15; K15; "
XP_018728936.1,3.26,4,-11.2,4.95,31.6,
XP_010032227.1,3.24,2,-11.1,9.15,49.3,
XP_010024762.1,2.95,2,-11.1,5.56,17.6,
XP_010062128.1,3.21,2,-10.9,8.06,39.4,
XP_010028689.1,3.31,2,-10.7,6.95,33.5,
XP_010033825.1,3.99,9,-10.7,9,29.5,
XP_010037749.1,3.09,2,-10.7,7.59,86.5,
XP_010064085.1,2.95,2,-10.5,5.82,42.2,
XP_010044046.1,3.07,1,-10.4,5.25,44.6,
XP_010059179.1,3.23,2,-10.4,9.18,52.8,
XP_010057371.1,3.52,2,-10.2,4.46,39.7,
XP_010029741.1,3.43,4,-10.2,9.44,36.7,
XP_018716868.1,3.35,2,-10.2,6.18,39.9,
XP_010045302.1,3.15,2,-10.2,6.09,22.3,
XP_010059958.1,3.34,2,-9.8,5.8,27.3,
XP_010031829.1,3.57,2,-9.7,8.25,39.4,
XP_010031259.1,3.35,2,-9.6,6.55,42,
XP_010058101.1,3.04,2,-9.6,9.27,33.9,
KCW79401.1,3.07,2,-9.6,5.93,36.9,
XP_010035421.1,3.4,2,-9.6,6.73,20.8,
XP_010045878.1,3.31,3,-9.6,5.46,28.6,
XP_010030977.1,3,2,-9.5,5.16,71.1,
XP_010044267.1,2.92,2,-9.5,4.76,42,
XP_010036821.1,3.22,2,-9.4,8.09,29.7,
XP_010060042.1,3.36,2,-9.4,4.72,29.2,
XP_010067669.1,3.31,2,-9.3,4.38,21.9,
XP_010053270.1,3.26,2,-9.2,8.68,18.8,
XP_010057127.1,3.02,1,-9.2,5.38,47.6,
XP_010028930.1,2.98,2,-9.1,8.77,30.5,
XP_010024744.1,3.6,3,-9,5.24,17.8,
XP_010040604.2,3.18,2,-8.9,5.1,28.9,
XP_010057920.1,3.17,2,-8.9,6.12,40.8,
XP_018729627.1,3.42,2,-8.9,9.49,30.4,
XP_010060297.1,3.02,1,-8.9,8.56,26.8,
XP_010067611.1,3.58,3,-8.9,7.83,25.6,
sp|ALBU_HUMAN|,3.47,3,-8.9,5.92,69.3, Serum albumin; Flags: Precursor; 
XP_018725330.1,3.28,2,-8.8,8.2,38.4,
XP_018724280.1,3.41,2,-8.8,8.6,56.7,
XP_018715409.1,3.31,2,-8.8,6.21,69.5,
XP_010062928.1,3.4,2,-8.7,6.09,21.9,
XP_010036983.1,3.34,2,-8.6,5.43,39.4,
XP_010055986.1,3.17,2,-8.6,5.07,73.5,
XP_010059954.1,3.49,4,-8.4,6.72,38.1,
XP_010041232.1,2.94,1,-8.2,8.45,20.5,
XP_010036387.1,3.23,2,-8,8.95,29.6,
XP_010053434.1,2.83,1,-8,5.95,31.2,
XP_010045047.1,2.95,2,-8,8.15,44.1,
XP_018718394.1,3.45,2,-8,6.39,46.3,
XP_018721153.1,3.22,2,-7.9,6.25,69.2,
XP_018723237.1,3.09,1,-7.8,4.54,28.6,
XP_010037132.1,3.27,2,-7.8,5.38,22.6,
XP_010052663.1,3.43,2,-7.8,10.51,44.7,
XP_010035248.1,3.17,2,-7.7,9.73,23.2,
XP_010067511.1,3.18,2,-7.7,5.04,34.3,
XP_010026792.1,3.26,2,-7.5,8.69,42.1,
XP_010032130.1,3.31,2,-7.5,6.43,47.8,
XP_010055809.1,3.41,2,-7.4,8.69,21.1,
XP_010060342.1,3.27,2,-7.3,5.13,42.8,
XP_010052197.1,3.27,2,-7.3,8.42,40.1,
XP_010032092.1,2.26,1,-7.3,4.87,12.5,
XP_018715447.1,3.32,3,-7.2,8.87,23.3,
XP_010045160.1,3.04,2,-7.2,6,52.3,
XP_010060595.1,2.75,1,-7.1,8.83,37.5,
XP_010067882.1,3.36,2,-7,6.42,32.7,
XP_018724396.1,2.77,1,-7,5.38,26.9,
XP_010025365.1:reversed,3.41,2,-7,6.3,48.9,
XP_010066154.1,2.99,1,-7,7.81,16.8,
XP_010041869.1,3.27,2,-7,6.07,29.9,
XP_010047106.1,3.29,2,-6.9,6.63,59.7,
XP_018726723.1,2.85,1,-6.9,8.25,27.5,
XP_010032071.1,3.23,2,-6.9,5.2,32.2,
XP_010054140.1,3.26,2,-6.8,6.28,41,
XP_010034848.1:reversed,3.42,2,-6.8,5.4,109.8,
XP_010053632.1,2.86,1,-6.7,4.62,38.1,
XP_010054663.1,3.32,2,-6.7,4.97,49.8,
XP_010039555.1,3.27,2,-6.6,4.34,49.1,
XP_010069596.1,2.92,1,-6.6,4.65,16.5,
XP_010044429.1:reversed,3.3,2,-6.5,5.58,73.2,
XP_010042680.1,3.21,2,-6.5,9.8,43.2,
XP_010035834.1,3.25,2,-6.4,7.23,39,
XP_010029221.1,3.45,2,-6.4,7.41,111.4,
XP_010066884.1,3.32,2,-6.4,5.43,57.3,
XP_010032497.1,3.41,2,-6.4,5.84,74.1,
XP_010047663.1,3.2,2,-6.4,4.63,14.1,
XP_010048663.1,3.35,2,-6.3,6.35,104.9,
XP_010064236.1:reversed,3.44,2,-6.2,6.04,358.6,
XP_010035120.1,3.55,3,-6.1,4.58,23.8,
XP_018717463.1,2.81,1,-6.1,4.79,45.6,
XP_010058970.1,3.37,2,-6.1,5.89,38,
XP_010057948.1,3.14,2,-6.1,5.84,148.1,
XP_018733071.1,2.95,1,-6,5.33,53.4,
XP_010040729.1,3.14,1,-6,6.04,34.6,
XP_018722491.1:reversed,3.5,2,-6,9.19,22.3,
XP_018717460.1,3.39,2,-5.9,6.58,242.4,
XP_010025830.2,3.34,2,-5.9,5.72,45,
XP_010069617.1:reversed,3.55,2,-5.9,8.08,81.6,
XP_010051873.1,2.88,1,-5.8,8.38,60.4,
XP_010037912.1,2.84,1,-5.8,9.25,28.5,
XP_010024840.1,3.4,2,-5.8,6.11,476.3,
XP_010045897.1,3.14,1,-5.7,4.62,13.7,
XP_010024433.1,2.48,1,-5.7,5.32,26.3,
XP_010062212.1,3.02,1,-5.6,4.55,72.3,
XP_010046559.1,2.92,1,-5.5,6.43,41.3,
XP_010025286.1,2.53,1,-5.4,9.68,27.2,
XP_010024004.1,3.38,2,-5.4,4.43,25.3,
XP_010048379.1,3,1,-5.4,8.78,35.1,
XP_010062247.1,2.84,1,-5.4,5.62,41.3,
XP_018718273.1,3.22,3,-5.3,6.46,54.5,
XP_010063743.1,3.33,2,-5.3,9.01,15.2,
XP_010027974.1,3.33,1,-5.2,7.66,80.1,
XP_010043783.1,3.05,1,-5.2,4.57,22.4,
KCW52109.1:reversed,2.87,1,-5.1,7.17,51.5,
XP_010047753.1,3.01,1,-5.1,9.6,36.6,
KCW44829.1,2.9,1,-5,6.72,10.9,
XP_010069958.1,2.92,1,-5,5.77,23.8,
XP_010053418.1,2.91,1,-4.9,5.15,52.4,
XP_018718813.1,3.38,2,-4.9,5.93,35.6,
XP_010062177.1,2.94,1,-4.9,9.19,20.6,
XP_010038001.1,3.01,1,-4.8,9.65,13.7,
XP_010028046.2,3,1,-4.7,7.2,50,
XP_010060627.1,2.78,1,-4.7,5.42,16.6,
XP_010028833.1,2.8,1,-4.7,4.79,57,
XP_010031710.1,2.68,1,-4.7,5.95,57.5,
XP_010055575.1,2.48,1,-4.5,5.47,35.7,
ADO23574.1,2.8,1,-4.5,5.13,38.9,no description available
ADO23614.1,3.12,1,-4.5,6.54,56,no description available
XP_018732425.1,3.14,1,-4.5,4.83,39.3,
XP_010032735.1,2.97,1,-4.4,9.18,48.9,
XP_018724711.1,2.71,1,-4.4,6.3,55,
XP_010053589.1,3.32,2,-4.4,5.04,17.3,
XP_010036085.1,3.59,2,-4.4,6.48,45.5,
ADO23587.1,2.69,1,-4.3,6.68,51.8,no description available
XP_010053520.1,2.96,1,-4.2,7.63,37,
XP_010066841.1,2.97,1,-4.2,5.32,47.1,
XP_010023772.1,2.78,1,-4.1,5.84,61.2,
XP_010047476.1,2.95,2,-4.1,6.46,39.4,
XP_010039803.1,2.64,1,-4,6.89,31.8,
XP_010070252.1,2.97,1,-4,6.48,48.9,
XP_010036847.1,2.92,1,-4,8.45,30,
XP_010034084.1,2.83,1,-4,5.37,68.7,
XP_018733099.1,3.25,2,-3.9,6.84,91.3,
XP_010032852.1,3.1,1,-3.9,5.47,37.6,
XP_010041326.1,2.61,1,-3.8,5.75,53.1,
XP_010032251.1,3.11,1,-3.8,6.86,35.2,
XP_010060230.1,2.66,1,-3.8,8.46,17,
XP_010040396.2,3.13,1,-3.7,6.01,59.3,
XP_010025934.1,3.02,1,-3.7,4.33,21.2,
XP_010030127.1,3.56,2,-3.7,4.4,15.5,
XP_010034959.1,3.07,1,-3.6,9.67,28.5,
XP_010061864.1,2.98,1,-3.6,9.16,27.3,
XP_010056276.1,3.23,1,-3.6,5.46,43,
XP_010066294.1,2.84,1,-3.6,5.04,54.4,
XP_018729866.1,2.27,1,-3.5,7.67,64.9,
XP_010029774.1,3.05,1,-3.5,5.98,24,
XP_010047486.1,2.72,1,-3.5,8.86,43.5,
XP_010049168.1,3.2,2,-3.5,5.33,53.6,
XP_010070185.1,3.23,1,-3.4,6.17,32.2,
XP_010064126.2,3.02,1,-3.4,6.11,34.8,
XP_010029108.2,3.07,1,-3.4,6.12,44.6,
XP_010028113.1,2.91,1,-3.3,9.17,35.8,
XP_010055609.1,2.83,1,-3.2,4.72,24.4,
XP_018730761.1,3.1,1,-3.2,9.38,50.7,
XP_010062205.1,2.95,2,-3.2,9.08,10.8,
XP_018729774.1,3.1,1,-3.2,9.16,27.3,
XP_010046987.1,2.58,1,-3.2,8.77,29.2,
XP_018732042.1,2.71,1,-3.1,6.78,15.7,
XP_010057805.1,2.67,1,-3.1,7.2,40,
KCW55862.1,2.96,1,-3.1,8.17,48.5,
XP_010063241.1,2.57,1,-3,4.94,80.5,
XP_010032055.1,2.72,1,-3,6.08,27.3,
XP_010050486.1:reversed,2.93,1,-3,5.98,50.2,
XP_018720253.1,3.17,1,-3,8.36,74.9,
KCW81870.1,3.03,1,-3,7.02,13.7,
XP_010052604.1:reversed,2.93,1,-2.9,10.26,13.1,
XP_018718229.1,2.94,1,-2.9,5.82,52.5,
XP_010056167.1,3.01,1,-2.9,7.26,35.8,
KCW89219.1,2.58,1,-2.9,8.95,75.1,
XP_010061330.1,3.04,1,-2.8,9.27,23.4,
XP_010044808.1,2.96,1,-2.8,6.08,28.4,
XP_010058512.2,3.1,1,-2.8,6.96,94.9,
XP_018724867.1:reversed,2.99,1,-2.8,5.81,115.6,
XP_010043227.1,2.99,1,-2.8,9.08,26.7,
XP_010034921.1,3,1,-2.8,9.52,22.1,
XP_010046990.1,3.13,1,-2.8,5.79,32.9,
XP_010033959.1,3.37,2,-2.7,7.52,19.1,
XP_010035276.1,3.44,4,-2.7,9.68,24.5,
XP_010062488.1,2.92,1,-2.7,10.09,15.2,
XP_010028424.1,3.02,1,-2.7,7.56,71.1,
XP_018716398.1,2.53,1,-2.7,6.81,23.8,
XP_010064666.1,3.29,1,-2.6,5.95,18.1,
XP_010032204.1,2.89,3,-2.6,5.84,26.6,
XP_018733076.1,3.42,3,-2.6,5.35,53.2,
XP_010036587.1,3.21,1,-2.6,8.89,26.7,
XP_010061254.1,3.23,1,-2.6,5.54,54.2,
XP_018728509.1:reversed,2.66,1,-2.6,11.39,21.6,
XP_010062003.1,3.17,1,-2.6,9.66,24.5,
XP_010069867.1,2.78,1,-2.6,8.39,83.2,
XP_010057930.1,2.81,1,-2.5,9.33,91.5,
XP_010027844.1,2.85,1,-2.5,5.43,20.4,
XP_010045919.1,3.03,1,-2.5,4.42,97.6,
XP_010037256.1,2.82,1,-2.5,6.25,41.9,
XP_010055537.1:reversed,3.14,1,-2.5,9.97,48.5,
XP_010029594.1,2.85,1,-2.5,8.13,40.1,
XP_010035192.1,2.63,1,-2.5,8.71,32.3,
KCW73089.1:reversed,2.78,1,-2.5,6.47,50.5,
XP_018729538.1:reversed,2.95,1,-2.5,9.98,32.8,
XP_010050993.1:reversed,3.11,1,-2.4,6.48,48.1,
XP_010028485.1,3.08,2,-2.4,5.3,33.8,
KCW86494.1,3.37,1,-2.4,11.9,10.9,
KCW44310.1:reversed,2.97,1,-2.4,4.73,11,
XP_010029889.1,3.04,1,-2.4,9.32,51.3,
XP_018719783.1:reversed,3.26,1,-2.4,6.96,122.6,
XP_010053196.1,3.25,1,-2.4,7.78,28,
XP_010067319.1:reversed,3.24,1,-2.4,5.46,77.3,
XP_010033655.1,3.08,1,-2.4,4.69,25.9,
KCW89098.1:reversed,3.09,1,-2.4,5.94,18.1,
XP_018720826.1,3.31,1,-2.4,6.43,89.5,
XP_010024432.1,2.89,1,-2.4,5.28,26,
XP_010067346.1,2.91,1,-2.4,5.25,56.7,
XP_010046024.1:reversed,2.79,1,-2.4,5.42,57.8,
XP_010052174.1:reversed,3.04,1,-2.4,6.02,39.1,
XP_018717635.1,2.88,1,-2.4,8.95,25.1,
XP_010051553.1,2.67,1,-2.4,5.38,17.6,
XP_010067725.1,3.06,1,-2.4,9.27,47,
XP_010029077.1,3,1,-2.4,6.91,23.3,
XP_010030202.1:reversed,2.95,1,-2.3,5.5,40.5,
XP_010052365.1:reversed,3.21,1,-2.3,6.04,37.8,
XP_010066207.1,2.99,1,-2.3,9.63,31.7,
XP_010061433.1,3.08,1,-2.3,8.84,35.9,
XP_018721738.1:reversed,2.97,1,-2.3,4.36,10.5,
XP_010038837.1,3.14,1,-2.3,8.77,26.1,
XP_010069833.1,3.11,1,-2.3,7.7,32.5,
XP_010037817.1,3.22,1,-2.3,5.22,24.3,
XP_010043791.1,2.81,1,-2.3,5.16,61.2,
XP_010034313.1,2.96,1,-2.3,5.44,31.2,
XP_018727932.1,2.86,1,-2.3,7.54,42.3,
XP_010031190.1,3.38,1,-2.3,9.76,25,
KCW78055.1:reversed,2.95,1,-2.3,10.32,30.9,
XP_010066468.1,2.82,1,-2.3,6.91,47.9,
XP_010036054.1,3.32,1,-2.3,9.51,66.1,
XP_010064077.1,2.87,1,-2.3,7.77,41.1,
XP_010056299.1,3.1,1,-2.3,6.89,24.6,
XP_010028131.1:reversed,2.98,1,-2.3,7.67,38.5,
XP_010028788.1,3.21,1,-2.2,6.06,28.2,
XP_010049746.1,3.05,1,-2.2,8.51,80.1,
XP_018718705.1,2.82,1,-2.2,6.83,94.7,
XP_010046960.1,2.59,1,-2.2,5.11,38,
XP_010042085.1:reversed,3.31,1,-2.2,9.33,56.8,
XP_010047826.1:reversed,3.04,1,-2.2,6.83,58.6,
XP_018727605.1:reversed,3.02,1,-2.2,5.64,14,
XP_010059918.1,2.8,1,-2.2,5.7,82,
XP_010031263.1:reversed,3.05,1,-2.2,5.85,50.8,
XP_010025495.1:reversed,3.17,1,-2.2,8.93,50.8,
XP_010034808.1,3.35,1,-2.2,6.67,34.3,
XP_010042814.1,3.11,1,-2.2,9.1,13.4,
XP_018725545.1:reversed,3.2,1,-2.2,8.62,88.7,
XP_018728242.1,3.2,2,-2.2,5.42,75.5,
KCW72651.1,2.61,1,-2.2,6.09,35.4,
XP_010030182.1,2.62,1,-2.2,5.45,76,
XP_010028033.1:reversed,2.86,1,-2.2,5.92,111.2,
KCW63713.1:reversed,2.96,1,-2.2,11.22,3.8,
XP_010037399.1,2.92,1,-2.2,8.84,27.3,
XP_018724424.1:reversed,3.21,1,-2.2,9.36,17.2,
KCW78621.1,2.95,1,-2.1,9.23,32.5,no description available
XP_010063760.1,3.02,1,-2.1,5.5,25.7,
KCW65764.1,3.33,2,-2.1,11.3,13.9,
XP_018715373.1:reversed,2.89,1,-2.1,8.98,24.3,
KCW83927.1,3.11,1,-2.1,8.95,42.8,
XP_010052458.1,2.74,1,-2.1,9.66,24.6,
XP_018727385.1,2.64,1,-2.1,11.29,15.3,
XP_010029454.1,3.38,1,-2.1,9.71,70.9,
XP_018721678.1,3.04,1,-2.1,9.42,13.6,
XP_018732672.1,3.04,1,-2.1,4.97,28.2,
XP_010060251.1:reversed,3.12,1,-2.1,7.66,155.7,
XP_018725176.1,3.21,1,-2.1,8.34,16.5,
KCW82640.1,3.31,4,-2,9.02,8.4,
XP_010041540.1:reversed,3.4,1,-2,9.49,34.6,
XP_010044054.2,3.14,1,-2,6.68,48.7,
XP_010031090.1,2.99,1,-2,9.42,28.2,
XP_010043342.1,3.02,1,-2,5.86,54.3,
XP_018729902.1,2.91,1,-2,4.7,100.3,
XP_010043979.1:reversed,2.73,1,-2,5.18,26.4,
sp|SRPP_HEVBR|,3.35,3,-2,4.8,22.3, Small rubber particle protein; SRPP; 22 kDa rubber particle protein; 22 kDa RPP; 27 kDa natural rubber allergen; Latex allergen Hev b 3; Hev b 3; 
XP_010065638.1:reversed,3.37,1,-2,5.64,98,
XP_010033326.1,2.92,1,-2,5.5,249,
XP_010026808.1:reversed,2.95,1,-2,6.89,31.5,
XP_010035246.1,3.16,1,-2,9.87,19.1,
XP_010029513.1,2.79,1,-2,8.46,63.5,
XP_010035217.1,2.82,1,-2,6.74,59.6,
KCW70359.1:reversed,2.98,1,-2,5.38,21.3,
XP_010049565.1,3.23,1,-2,5.42,55.1,
KCW63259.1,3.06,1,-2,6.71,131.7,
XP_018719783.1,3.09,1,-2,6.96,122.6,
XP_010037691.1,3.18,1,-2,6.12,43.2,
XP_010044552.1,3.11,1,-2,6.39,107.6,
KCW73611.1,3.05,1,-2,6.59,125.7,
XP_010043098.1:reversed,2.85,1,-2,9.01,53.5,
XP_010069512.1,2.76,1,-2,4.38,41,
KCW60228.1,2.91,1,-2,6.06,41,
XP_010045279.1,3.11,1,-2,9.71,31,
XP_010035194.1:reversed,3.07,1,-2,6.3,112.4,
XP_018715505.1,2.66,1,-2,5.56,34.8,
XP_010044646.1:reversed,3.43,2,-2,6.88,59,
XP_010046503.1,2.96,1,-1.9,9.38,32.4,
XP_018717967.1,3.16,1,-1.9,5.91,414.9,
XP_010044499.1,3.09,1,-1.9,7.02,71.1,
XP_018719794.1,2.96,1,-1.9,4.44,23.4,
XP_010028919.1,3.01,1,-1.9,9.1,9.6,
XP_010054059.1:reversed,3.32,1,-1.9,7.71,157.5,
XP_010069490.1,2.9,1,-1.9,9.43,83.9,
