Identifier,log(I),rI,log(e),pI,Mr (kDa),Description
XP_010067877.1,3.67,5,-28.6,9.79,42.3,
XP_010049597.1,3.55,6,-28.5,5.81,54.5,
XP_010033712.1,4,9,-28.1,8.91,29,
XP_010059663.2,3.59,4,-28,6.2,65.2,
XP_010058569.1,3.52,4,-27.9,9.82,22.9,
XP_010030046.1,3.34,3,-27.7,9.07,32.4,
XP_010048943.1,3.44,4,-27.5,8.71,35.8,
XP_018730247.1,3.72,4,-27.3,5.6,48,
XP_010030961.1,3.74,6,-27.1,6.13,27.2,
XP_010037503.1,3.7,4,-27.1,6.12,53.3,
XP_010044046.1,3.76,6,-26.9,5.25,44.6,
KCW51659.1,3.31,4,-26.2,5.15,26.9,
XP_010055986.1,3.32,3,-25.9,5.07,73.5,
XP_010047424.1,3.59,4,-25.2,5.95,62.3,
XP_018726677.1,3.61,4,-24.8,8.92,50.6,
XP_010052710.1,3.68,4,-24.6,5.68,25.9,
XP_010063836.1,3.73,7,-24.4,5.28,38.4,
XP_010052791.1,3.6,6,-24.3,6.84,16.2,
XP_010063935.1,3.54,6,-24,5.82,78.7,
XP_018730801.1,3.41,4,-23.8,5.5,36.2,
XP_010044926.1,3.64,4,-23.5,5.59,64.4,
XP_010062799.1,3.63,5,-23.2,8.53,36,
XP_010028812.1,3.91,8,-22.7,8.67,35.7,
XP_010031640.1,3.64,4,-22.7,9.61,12.3,
NP_001289666.1,3.61,5,-22.7,4.74,50.2,
XP_010023934.1,3.69,7,-22.6,6.6,35.6,
XP_010062160.1,3.36,3,-22.4,6.23,52.8,
XP_010028398.1,3.38,2,-22.1,5.74,93.5,
XP_010029741.1,3.56,4,-22.1,9.44,36.7,
XP_010032881.1,3.49,4,-22,7.92,20.9,
XP_010035138.1,3.58,5,-21.5,4.78,50.3,
NP_001289663.1,3.4,3,-21.4,5.78,51.9,
XP_010030053.1,3.82,8,-21.2,5.95,27.6,
XP_010066951.1,3.42,4,-21.2,7.02,29.6,
XP_010063308.1,3.74,7,-21.2,8.99,24.6,
XP_010029673.1,4,10,-21.2,8.77,40.8,
XP_010031909.1,3.56,4,-21,8.58,44.8,
ADO23586.1,3.69,7,-20.9,5.33,39.5,no description available
XP_010025830.2,3.46,3,-20.9,5.72,45,
XP_018732053.1,3.36,3,-20.4,8.66,26.5,
XP_018728936.1,3.59,4,-20.4,4.95,31.6,
XP_010031259.1,3.74,5,-20.2,6.55,42,
XP_010052858.1,3.34,3,-20.2,5.27,32.3,
XP_010067722.1,3.56,4,-20,9.63,37.3,
XP_010052188.1,4.04,12,-20,4.87,57.4,
XP_010028689.1,3.46,3,-20,6.95,33.5,
XP_010035704.1,3.44,3,-19.7,9.98,18.9,
XP_018722607.1,3.09,2,-19.5,6.5,23.9,
XP_010035421.1,3.54,3,-19.1,6.73,20.8,
XP_010056283.1,3.35,3,-19,4.62,25.3,
XP_010065001.1,3.4,3,-18.9,6.19,28.1,
XP_010060663.1,3.65,4,-18.8,8.52,36.2,
XP_010043430.1,3.51,4,-18.6,9.15,21.7,
XP_018721380.1,3.49,3,-18.4,5.17,66.6,
XP_010055609.1,3.65,5,-18.3,4.72,24.4,
XP_010056284.1,3.47,3,-18.2,4.57,25.4,
XP_010044646.1,3.74,5,-18.1,6.88,59,
XP_018726917.1,3.43,3,-18,8.89,26.8,
XP_010032624.1,3.64,4,-17.8,4.76,29.7,
XP_010040740.1,3.32,3,-17.6,8.81,21.9,
XP_018729627.1,3.29,3,-17.5,9.49,30.4,
XP_010048500.1,3.47,3,-17.4,4.9,53.3,
XP_010040729.1,3.45,3,-17.3,6.04,34.6,
XP_010036199.1,3.43,3,-17.3,8.64,28,
XP_010061677.1,3.59,3,-17,8.72,29.6,
XP_010039555.1,3.51,3,-17,4.34,49.1,
XP_010038001.1,3.47,3,-17,9.65,13.7,
XP_018728580.1,3.33,4,-16.8,8.8,17.8,
ADO23638.1,3.75,6,-16.5,6.67,9,no description available
XP_010035773.1,3.6,4,-16.4,9.82,41.4,
XP_018720769.1,3.3,2,-16.4,8.53,29.1,
XP_010069076.1,3.53,3,-16.3,8.44,48.5,
XP_010062489.2,3.58,4,-16.3,10.72,17.8,
XP_010035363.1,3.32,3,-16.2,5.57,44.4,
XP_018728100.1,3.16,2,-16.1,6.49,39.5,
XP_010045025.1,3.5,4,-16,9.55,11.7,
XP_010058101.1,3.44,2,-15.9,9.27,33.9,
XP_010069156.1,3.29,2,-15.8,10.44,17.2,
XP_018721153.1,3.28,3,-15.8,6.25,69.2,
XP_010057104.1,3.77,7,-15.7,5.54,57.5,
XP_018718394.1,3.62,4,-15.6,6.39,46.3,
XP_010025126.1,3.64,5,-15.6,10.28,14.9,
XP_010031710.1,3.27,2,-15.5,5.95,57.5,
XP_010047106.1,3.45,3,-15.4,6.63,59.7,
XP_010044623.1,3.54,4,-15.3,7.57,28.1,
XP_010049168.1,3.33,3,-15.3,5.33,53.6,
XP_010069235.1,3.49,3,-15.3,9.02,34.5,
XP_010038336.1,3.21,3,-15.2,9.24,40.7,
XP_010059895.1,3.51,5,-15,5.63,51.8,
XP_010048490.1,3.35,2,-14.9,5.05,25.3,
XP_010070215.1,3.39,3,-14.8,7.16,43.6,
XP_010031355.1,3.6,6,-14.8,6.8,46.5,
XP_010032130.1,3.09,2,-14.4,6.43,47.8,
XP_010063949.1,3.03,2,-14.4,4.76,56.1,
XP_010053434.1,3.4,2,-14.2,5.95,31.2,
XP_010063287.1,4.16,15,-14.2,4.96,17,
XP_010040396.2,3.34,3,-14,6.01,59.3,
XP_010045047.1,3.16,2,-14,8.15,44.1,
XP_010064077.1,3.19,2,-14,7.77,41.1,
XP_010029949.1,3.24,2,-13.9,5.75,73.3,
XP_010069596.1,3.43,4,-13.5,4.65,16.5,
XP_010062177.1,3.52,3,-13.3,9.19,20.6,
XP_018728637.1,3.4,3,-13.3,5.14,14.4,
XP_018728236.1,3.48,4,-13.1,6.18,52.1,
XP_010047425.1,3.38,2,-12.9,8.83,64,
XP_010028184.1,3.15,2,-12.9,8.27,58.2,
XP_010069958.1,3.1,2,-12.4,5.77,23.8,
sp|K1C15_SHEEP|,3.28,2,-12.3,4.73,48.7," Keratin, type I cytoskeletal 15; Cytokeratin-15; CK-15; Keratin-15; K15; "
XP_010061512.1,3.38,2,-12.3,4.78,28.3,
XP_010025879.1,3.5,3,-12.2,4.67,29.3,
ADO23617.1,3.41,4,-12.2,6.03,7.7,no description available
XP_010028700.1,3.4,2,-12.1,9.51,56,
XP_010047472.1,3.33,4,-12,6.75,37.6,
XP_010024151.1,3.38,2,-11.9,8.78,42.5,
ADO23628.1,2.96,2,-11.9,11,10.6,no description available
XP_010047378.1,3.14,2,-11.8,8.71,39.6,
XP_010044808.1,3.62,4,-11.7,6.08,28.4,
XP_018729661.1,3.39,2,-11.7,5.8,65.8,
XP_010063743.1,3.24,2,-11.7,9.01,15.2,
XP_010067525.1,3.47,3,-11.6,5.85,30.3,
XP_010070634.1,3.12,2,-11.6,6.76,79.7,
XP_018732437.1,3.78,8,-11.4,5.16,43.9,
XP_010053632.1,3.49,2,-11.4,4.62,38.1,
XP_010039930.1,3.32,2,-11.3,6.75,20.9,
XP_010069046.1,3.35,2,-11.3,4.83,14.8,
XP_010061433.1,3.31,2,-11.3,8.84,35.9,
XP_010032739.1,3.19,2,-11.2,9,27,
XP_010029512.1,3.12,2,-11.2,8.87,63.8,
XP_010032227.1,3.44,3,-11.2,9.15,49.3,
XP_018725118.1,3.72,6,-11.2,6.59,15.2,
XP_010033957.1,3.28,2,-11.1,4.9,45.8,
XP_010066332.1,3.1,2,-11,4.68,58.1,
XP_010059179.1,3.26,2,-10.9,9.18,52.8,
XP_010023668.1,3.45,2,-10.9,5.14,24.9,
XP_010034097.1,3.33,3,-10.8,5.39,54.4,
XP_010031998.1,3.35,3,-10.8,7.63,30.5,
XP_010025333.1,3.44,2,-10.7,6.25,29.4,
XP_010042449.2,3.16,2,-10.7,5.45,22.3,
XP_010038272.1,3.25,2,-10.6,5.47,39,
XP_010061721.1,3.59,5,-10.6,4.83,51.9,
XP_010038505.1,3.44,2,-10.6,6.24,85.4,
XP_010066927.1,3.14,2,-10.5,10.45,17.2,
XP_010068989.1,3.42,2,-10.5,9.07,22.6,
XP_010025235.1,3.35,2,-10.5,4.67,19,
XP_018720664.1,3.15,2,-10.4,5.99,114.2,
XP_010057174.2,3.22,2,-10.4,6.08,44.4,
XP_010029203.1,3.2,2,-10.4,5.04,50.1,
XP_010035190.1,3.4,2,-10.3,8.59,32,
XP_010063408.1,3.05,2,-10.2,8.13,44.9,
XP_010066639.1,2.84,2,-10.1,6.43,64.9,
XP_010025366.1,3.12,2,-10.1,9.87,26.6,
XP_010049664.1,3.05,1,-10.1,5.55,17.3,
XP_010036197.1,3.12,2,-10,8.84,27.8,
XP_018731367.1,3.47,2,-10,8.91,30.5,
XP_010045666.1,3.14,2,-10,5.3,54.7,
XP_018724546.1,3.37,3,-9.9,5.55,63.4,
XP_010025154.1,3.3,2,-9.9,7.64,32,
XP_010054591.1,3.33,2,-9.9,7.08,53.9,
XP_010037749.1,3.27,2,-9.9,7.59,86.5,
XP_010052339.1,3.35,2,-9.9,5.69,35.4,
XP_010042296.1,3.43,3,-9.8,10.11,15.8,
XP_010063208.1,3.45,3,-9.8,10.18,17,
XP_010048942.1,3.26,2,-9.8,8.72,35.6,
XP_010047476.1,3.42,3,-9.7,6.46,39.4,
XP_010027209.1,3.24,2,-9.6,8.61,25.9,
XP_010023554.1,3.35,2,-9.5,5.31,54,
XP_018723538.1,3.15,2,-9.5,9.24,56.2,
XP_010043679.1,3.15,2,-9.5,5.29,27.3,
XP_010061867.1,3.47,2,-9.4,4.73,29.4,
XP_010043528.1,3.38,2,-9.4,5.66,15.1,
XP_010030201.1,3.2,2,-9.3,6.32,47.5,
XP_010062840.1,3.22,2,-9.3,5.66,24.2,
XP_010047753.1,3.12,2,-9.2,9.6,36.6,
XP_010047838.1,3.01,1,-9.2,9.52,23.3,
XP_018725554.1,3.13,2,-9.1,7.55,35.6,
XP_010046994.1,3.08,2,-9.1,5.27,27.4,
XP_010046987.1,3.23,2,-8.9,8.77,29.2,
XP_010060226.1,3.23,2,-8.8,4.85,41.6,
XP_010056282.1,3.24,2,-8.7,4.78,25.5,
XP_010051873.1,3.08,2,-8.6,8.38,60.4,
XP_010060660.1,3.18,2,-8.6,6.72,76.4,
XP_010025449.1,3.14,1,-8.5,5.95,27.3,
XP_010053756.1,3.15,2,-8.5,10.3,28.8,
XP_010028205.1,2.73,1,-8.5,5.01,39.5,
XP_010037280.1,3.39,2,-8.4,8.91,18.1,
XP_010066152.1,2.74,1,-8.4,8.54,31.5,
KCW83182.1,3.39,2,-8.3,6.53,23.3,
XP_010037684.1,3.35,2,-8.2,10.28,29.9,
XP_010036387.1,2.96,2,-8.2,8.95,29.6,
XP_018728949.1,3.16,2,-8.2,11.13,14.3,
XP_010023549.1,3.15,2,-8.1,4.76,58.6,
XP_010036821.1,2.97,2,-8.1,8.09,29.7,
XP_010025256.1,3.32,2,-7.9,11.25,21,
XP_010067820.1,3.47,2,-7.9,9.06,38.8,
XP_010031627.1,3.45,2,-7.8,6.2,60.3,
XP_010029011.1,2.94,1,-7.8,5.25,24.4,
XP_010047430.1,3.06,1,-7.7,7.97,57.1,
XP_010041326.1,3.03,1,-7.7,5.75,53.1,
XP_010051514.1,3.18,2,-7.7,8.4,34.8,
XP_010053945.1,3.31,2,-7.6,11.63,8.2,
XP_010047955.1,3.45,2,-7.6,8.3,19.6,
XP_010059812.1,2.96,1,-7.6,6.88,50.8,
XP_010063251.1,3.28,2,-7.6,5.86,80.7,
XP_010055614.1:reversed,3.38,2,-7.6,9.34,95.1,
XP_010062665.1,3.26,3,-7.5,7.16,60.1,
XP_010041169.1,3.13,1,-7.4,10.24,10.3,
XP_018723237.1,3.01,1,-7.4,4.54,28.6,
XP_018724081.1,3.3,2,-7.3,8.38,26.7,
XP_010024946.1:reversed,3.35,3,-7.2,5.51,47.3,
XP_010053196.1,3.39,3,-7.2,7.78,28,
XP_010037116.2,3.59,4,-7.1,5.57,50.1,
KCW76040.1,3.4,2,-7.1,9.05,83.2,
XP_010045430.1,3.27,2,-7.1,5.43,46.3,
XP_010029666.1,3.17,2,-7.1,7.73,27.2,
XP_010025013.1,3.09,1,-7.1,8.46,15.7,
XP_010028726.1,3.37,2,-7.1,9.39,21.8,
XP_010047663.1,3.38,3,-7,4.63,14.1,
XP_010043250.1,3.24,2,-7,7.7,30.9,
XP_010053270.1,2.83,1,-7,8.68,18.8,
XP_010028936.1,3.22,2,-7,5.81,114.4,
XP_010057836.1,3.35,2,-7,5.31,29,
XP_010062488.1,3.24,2,-6.9,10.09,15.2,
CBM36847.1,3.47,2,-6.8,4.76,61.4,
XP_010029190.1,3.46,2,-6.8,5.67,34.5,
XP_010057975.1,3.42,2,-6.8,9.18,37.9,
XP_018715155.1,3.29,2,-6.8,6.02,60.5,
XP_010030753.1,3.34,2,-6.7,9.34,19.1,
XP_010043994.1:reversed,3.31,2,-6.7,4.82,79.5,
XP_010067662.1:reversed,3.31,2,-6.7,6.56,72.2,
XP_010032621.1,3.32,2,-6.7,9.15,58.4,
XP_010060156.1:reversed,3.34,2,-6.7,6.04,252.4,
XP_010030127.1,3.61,3,-6.6,4.4,15.5,
XP_010067611.1,3.14,1,-6.6,7.83,25.6,
XP_018717273.1,3.4,2,-6.6,9.81,17.7,
XP_010053520.1,3.54,3,-6.5,7.63,37,
XP_010054511.1:reversed,3.3,2,-6.5,7.64,27.9,
XP_010048828.1:reversed,3.39,2,-6.4,6.27,45.9,
XP_010038204.1,2.69,2,-6.4,4.6,23,
XP_010027411.1,3.53,2,-6.4,11.48,31.2,
XP_010032105.1:reversed,3.03,2,-6.3,6.38,74,
XP_010062122.1,2.91,1,-6.3,4.78,11.1,
XP_010063693.1,3.24,2,-6.3,6,87.4,
XP_010041232.1,2.99,1,-6.3,8.45,20.5,
XP_018730109.1,3.26,2,-6.2,8.46,32.2,
XP_010027806.1,3.28,2,-6.2,4.67,75.6,
XP_018727894.1,3.06,1,-6.2,5.59,32.1,
XP_010069685.1,2.87,1,-6.1,9.82,14.4,
XP_018726020.1,2.49,1,-6,5.21,54.8,
XP_018715804.1,3.23,2,-6,9.25,122,
XP_018721658.1,3.5,2,-6,7.64,39.7,
XP_010028113.1,2.88,1,-6,9.17,35.8,
XP_010067582.1,3.23,1,-6,9.49,34.5,
XP_010043237.1,3.4,2,-5.9,5.05,31.2,
XP_010023959.1,3.11,1,-5.9,8.81,58.6,
XP_018725654.1,2.8,1,-5.8,8.22,45.7,
XP_010036149.1,2.62,1,-5.8,9.01,43.1,
XP_010063618.1,3.12,1,-5.7,6.86,33.4,
XP_010037338.1,3.01,1,-5.7,8.74,35.6,
XP_010033024.1,2.85,1,-5.6,9.79,9.4,
XP_010043384.1,3.18,1,-5.6,5.38,12.3,
ADO23596.1,2.91,1,-5.5,5.18,14.6,no description available
XP_010023931.1,3.18,1,-5.5,8.73,47.1,
XP_018720975.1,2.84,1,-5.4,6.54,58.2,
XP_010042427.1,2.78,1,-5.3,5.21,54.8,
XP_010025670.1,2.78,1,-5.3,10.52,11.6,
XP_010036847.1,2.73,1,-5.3,8.45,30,
XP_010034959.1,2.77,1,-5.2,9.67,28.5,
XP_010033507.1,3.44,3,-5.2,4.48,42.6,
XP_010066226.1,3.05,1,-5.2,6.55,35.2,
XP_010052814.1,2.71,1,-5.1,5.09,37.3,
XP_010066621.1,3.18,1,-5.1,6.48,51,
XP_010028919.1,2.45,1,-5,9.1,9.6,
XP_010032555.1,3.35,2,-5,4.71,37.4,
XP_010041869.1,2.47,1,-5,6.07,29.9,
XP_010055036.2,2.77,1,-5,7.24,98,
XP_010049856.1,3.16,1,-5,6.83,19.6,
XP_010060049.1,3.41,2,-5,5.8,30.6,
XP_010032715.1,2.88,1,-4.9,10.29,26.8,
XP_010027759.1,2.98,1,-4.8,5.6,55.5,
XP_010059918.1,3.14,2,-4.8,5.7,82,
XP_010037961.1,2.93,1,-4.8,8.54,31,
XP_010069607.1,2.8,1,-4.8,10.68,15.6,
XP_010063301.1,2.83,1,-4.8,4.75,43.8,
XP_010062388.1,2.72,1,-4.8,5.41,31.2,
XP_010039931.1,3.08,1,-4.7,6.9,22.7,
XP_018727932.1,2.48,1,-4.6,7.54,42.3,
XP_010063241.1,2.66,1,-4.5,4.94,80.5,
XP_010043876.1,3.32,2,-4.5,7.52,35.4,
XP_010060093.1,3.23,1,-4.5,6.78,46.4,
XP_010044939.1,2.82,1,-4.4,9.41,31.9,
XP_010066035.1,3.01,1,-4.4,5.44,35.9,
XP_010062707.1,3.33,2,-4.4,9.04,30.6,
XP_010060595.1,3.05,1,-4.4,8.83,37.5,
XP_010061414.1,3.04,1,-4.4,6.56,38.9,
XP_018726066.1,3.38,4,-4.4,9.34,27.6,
XP_010035643.1,2.68,1,-4.3,4.85,25.9,
XP_018732157.1,3.17,1,-4.3,4.89,24.6,
XP_010035623.1,2.87,1,-4.2,5.59,66.6,
XP_010064092.1,3.17,1,-4.2,4.97,45.5,
XP_010037134.1,3.13,2,-4.2,5.56,26.1,
XP_018719988.1,3.16,1,-4.2,9.09,53.2,
XP_010059854.1,2.96,1,-4.2,6.11,80.3,
XP_010037106.1,2.74,1,-4.1,9.69,25.3,
XP_018729940.1,2.86,1,-4,6.14,34.2,
XP_010039275.1,3.63,3,-4,5.77,33.4,
XP_010029606.1,2.85,1,-3.9,9.08,29.6,
XP_010037399.1,2.92,1,-3.9,8.84,27.3,
XP_010032790.1,3.07,1,-3.8,4.94,32.5,
XP_010066382.2,3.28,1,-3.8,7.59,27.5,
XP_010032296.1,2.91,1,-3.7,8.76,21.4,
XP_010044002.1,2.97,1,-3.7,6.52,35,
XP_010037256.1,3.1,1,-3.7,6.25,41.9,
XP_010044212.1,2.61,1,-3.7,9.06,60.7,
XP_018718229.1,2.51,1,-3.7,5.82,52.5,
ADO23619.1,2.49,1,-3.7,6.56,17.3,
XP_010038655.1,2.87,1,-3.7,5.77,54,
XP_010027844.1,2.86,1,-3.6,5.43,20.4,
KCW57238.1:reversed,3.02,1,-3.6,9.15,54.4,
XP_010048107.1,2.89,1,-3.6,7.2,44.6,
XP_010062003.1,3.18,1,-3.6,9.66,24.5,
XP_010024713.1,3.25,1,-3.6,9.47,14.2,
XP_010027647.1,3.12,1,-3.5,7.07,44.6,
XP_010063760.1,2.64,1,-3.5,5.5,25.7,
XP_010038487.2,3.2,1,-3.5,8.78,72,
XP_010057273.1,3.12,1,-3.5,5.69,82.5,
XP_010056201.1,3.11,1,-3.5,5.94,35.1,
XP_018733369.1,3.11,1,-3.5,5.86,72.9,
XP_010066434.1,2.93,1,-3.5,7.56,42.2,
XP_018722061.1,2.9,1,-3.5,8.75,30,
XP_018728445.1,2.5,1,-3.4,6.95,35,
XP_018718273.1,2.64,1,-3.4,6.46,54.5,
XP_010061866.1,3.02,1,-3.4,9.28,31.3,
XP_010030001.1,2.93,1,-3.3,7.64,44.2,
XP_018720459.1,2.37,1,-3.3,9.18,26.8,
XP_010023583.1,3.16,1,-3.3,6.67,109.4,
XP_010052794.1,3.16,1,-3.2,5.28,51.3,
XP_010028485.1,2.72,1,-3.2,5.3,33.8,
XP_010043254.1,2.93,1,-3.2,6.11,42.6,
XP_010029550.1,3.01,1,-3.2,4.71,64.6,
