Identifier,log(I),rI,log(e),pI,Mr (kDa),Description
XP_010066154.1,3.87,6,-42.1,7.81,16.8,
XP_010030704.1,4.11,21,-40.7,5.45,45,
XP_010030046.1,3.7,7,-40.1,9.07,32.4,
XP_010032055.1,3.68,6,-37.9,6.08,27.3,
XP_010040396.2,3.85,6,-37.9,6.01,59.3,
XP_018732042.1,3.76,5,-37.1,6.78,15.7,
XP_010028812.1,3.66,7,-37,8.67,35.7,
XP_010041954.1,4.09,13,-36.9,5.64,15.3,
sp|ALBU_BOVIN|,3.67,5,-36.2,5.82,69.2, Serum albumin; BSA; Bos d 6; Flags: Precursor; 
sp|K1C15_SHEEP|,3.91,9,-36.2,4.73,48.7," Keratin, type I cytoskeletal 15; Cytokeratin-15; CK-15; Keratin-15; K15; "
XP_010037701.1,3.69,6,-35.4,5.48,30.9,
XP_010032881.1,4.07,10,-35,7.92,20.9,
XP_010026751.1,3.62,6,-34.9,6.37,33.8,
XP_010055401.1,3.58,6,-34.8,5.69,33.6,
XP_010053589.1,4.1,12,-34.7,5.04,17.3,
XP_010037305.1,3.63,4,-34.7,7.67,30,
XP_010038001.1,3.55,5,-34.3,9.65,13.7,
XP_018732861.1,3.91,7,-34,6.13,63.7,
XP_010031710.1,3.63,6,-33.6,5.95,57.5,
XP_010036097.1,3.86,9,-33.2,8.67,29.2,
XP_010063287.1,4.31,19,-33.2,4.96,17,
XP_010033665.1,3.67,5,-32.8,4.92,34,
sp|TRYP_PIG|,4.4,28,-32.7,6.85,24.4, Trypsin; EC 3.4.21.4; Flags: Precursor; 
XP_010025114.1,3.95,8,-32.6,5.76,15.2,
XP_010052188.1,4.17,14,-32.5,4.87,57.4,
XP_010066088.1,3.91,11,-32.4,6.64,49.8,
XP_010044926.1,3.64,5,-32,5.59,64.4,
XP_010062928.1,3.52,3,-31.9,6.09,21.9,
XP_018718394.1,3.74,6,-31.9,6.39,46.3,
XP_018727840.1,3.74,6,-31.5,6.6,70.5,
XP_010061009.1,3.68,4,-30.7,5.5,39.9,
XP_010066265.1,3.99,10,-30.5,6.29,18.8,
XP_010035421.1,3.62,6,-30.4,6.73,20.8,
XP_010052791.1,3.6,5,-30,6.84,16.2,
XP_010063754.1,3.49,4,-30,4.7,67.9,
XP_010055809.1,3.76,6,-29.9,8.69,21.1,
XP_010050008.1,3.67,6,-29.8,5.5,47.9,
XP_010029375.1,3.91,7,-29.6,8.48,29.4,
XP_010032010.1,3.73,6,-29.4,6.93,92,
XP_010063836.1,3.66,6,-29.4,5.28,38.4,
XP_010047451.1,3.44,4,-29.3,9.68,23.3,
XP_010045878.1,3.91,10,-29,5.46,28.6,
XP_010039275.1,3.84,5,-28.9,5.77,33.4,
sp|ALDOA_RABIT|,3.6,4,-28.8,8.31,38.8, Fructose-bisphosphate aldolase A; EC 4.1.2.13; Muscle-type aldolase; 
KCW72651.1,3.54,5,-28.8,6.09,35.4,
XP_010046344.2,3.99,10,-28.6,6.97,19.3,
XP_010049196.1,3.5,4,-28.4,6.44,114.4,
XP_018730827.1,3.5,4,-28.4,5.26,26.5,
XP_010069388.1,3.66,5,-28.3,6.52,37.9,
XP_010044902.1,3.52,3,-27.9,4.75,61.3,
XP_010061721.1,3.79,6,-27.6,4.83,51.9,
XP_010045047.1,3.72,5,-27.6,8.15,44.1,
XP_010060801.1,3.82,6,-27.3,9.24,40.7,
XP_010065001.1,3.64,5,-27,6.19,28.1,
XP_018722097.1,3.72,5,-26.9,5.89,37.4,
XP_010023934.1,3.52,4,-26.6,6.6,35.6,
XP_018732461.1,3.93,11,-26.5,6.32,50.8,
XP_010029741.1,3.51,4,-26.5,9.44,36.7,
XP_010029385.1,3.54,3,-26.5,5.07,24.4,
XP_010025830.2,3.71,4,-26.4,5.72,45,
ADO23587.1,3.88,8,-26.4,6.68,51.8,no description available
XP_010042449.2,3.73,6,-26.3,5.45,22.3,
XP_010028715.1,3.58,4,-26.2,8.76,81.2,
sp|GSTP1_HUMAN|,3.43,3,-25.7,5.43,23.2,
XP_010051063.1,3.98,10,-25.6,4.93,17.2,
XP_018729661.1,3.52,5,-25.3,5.8,65.8,
XP_010052458.1,3.43,5,-25.1,9.66,24.6,
XP_010047106.1,3.63,4,-24.7,6.63,59.7,
XP_010059179.1,3.53,5,-24.2,9.18,52.8,
XP_010062720.1,3.62,5,-23.8,5.93,16.5,
XP_010066639.1,3.34,4,-23.8,6.43,64.9,
XP_010059917.1,3.75,5,-23.3,6.32,81.9,
XP_010060663.1,3.66,4,-22.9,8.52,36.2,
XP_010069589.1,3.46,3,-22.9,5.58,55.4,
CBD08233.1,3.6,4,-22.6,9.43,34.6,
XP_010028689.1,3.45,4,-22.5,6.95,33.5,
XP_010066951.1,3.75,6,-22.2,7.02,29.6,
XP_010023477.1,3.39,4,-21.1,6.57,53.4,
XP_010044556.1,3.31,3,-20.8,8.52,42.6,
XP_018730801.1,3.56,5,-20.8,5.5,36.2,
XP_010045666.1,3.58,5,-20.5,5.3,54.7,
XP_010044623.1,3.67,4,-20.3,7.57,28.1,
XP_010037749.1,3.42,4,-20,7.59,86.5,
XP_010030657.1,3.47,4,-19.9,8.41,32.2,
ADO23574.1,3.57,4,-19.9,5.13,38.9,no description available
XP_010064666.1,3.43,3,-19.8,5.95,18.1,
XP_010025879.1,3.28,2,-19.8,4.67,29.3,
NP_001289666.1,3.41,3,-19.7,4.74,50.2,
XP_018725330.1,3.83,6,-19.6,8.2,38.4,
NP_001289662.1,3.39,3,-19.4,4.74,50.4,
XP_010049172.1,3.48,3,-19.3,5.47,70.7,
XP_018716770.1,3.47,3,-19.2,6.03,111.1,
XP_018717273.1,3.63,4,-19,9.81,17.7,
XP_010029949.1,3.57,4,-18.6,5.75,73.3,
XP_010035248.1,3.39,3,-18.2,9.73,23.2,
XP_010032739.1,3.27,4,-18,9,27,
XP_010024756.1,3.54,4,-18,5.14,17.6,
sp|RS27A_HUMAN|,3.25,3,-17.9,9.68,18, Ubiquitin-40S ribosomal protein S27a; Ubiquitin carboxyl extension protein 80; Contains: Ubiquitin; Contains: 40S ribosomal protein S27a; Small ribosomal subunit protein eS31 {ECO:0000303|PubMed:24524803}; Flags: Precursor; 
XP_010067511.1,3.64,3,-17.9,5.04,34.3,
XP_010060673.1,3.69,4,-17.9,6.98,46,
XP_010043237.1,3.65,5,-17.8,5.05,31.2,
XP_018720975.1,3.51,3,-17.8,6.54,58.2,
XP_010055735.1,3.67,5,-17.8,4.46,29.4,
ADO23586.1,3.5,4,-17.7,5.33,39.5,no description available
XP_010061864.1,3.42,3,-17.3,9.16,27.3,
XP_010067525.1,3.36,4,-17.3,5.85,30.3,
ADO23617.1,3.01,3,-17.3,6.03,7.7,no description available
XP_010049664.1,3.34,3,-17.2,5.55,17.3,
XP_010058569.1,3,2,-17.1,9.82,22.9,
XP_010070215.1,3.49,4,-17.1,7.16,43.6,
XP_018720664.1,3.55,4,-17.1,5.99,114.2,
XP_010037513.1,3.52,3,-17,5.36,66.2,
XP_010043791.1,3.41,3,-16.9,5.16,61.2,
XP_010028338.1,3.12,3,-16.8,4.98,53.5,
XP_010029484.1,3.41,3,-16,5.1,34,
XP_010067046.1,3.42,3,-15.9,5.35,46.1,
XP_010044939.1,3.14,2,-15.8,9.41,31.9,
XP_010066035.1,3.57,3,-15.6,5.44,35.9,
XP_010052179.1,3.48,3,-15.6,10.01,20.8,
XP_010063949.1,3.5,3,-15.5,4.76,56.1,
XP_010047476.1,3.53,4,-15.4,6.46,39.4,
XP_018717371.1,3.24,3,-15.4,6.01,45.2,
XP_018715447.1,3.46,4,-15.1,8.87,23.3,
XP_010035998.1,3.52,3,-14.9,9.3,11.7,
XP_010032608.1,3.29,2,-14.9,9.32,58.7,
XP_010060424.1,3.38,3,-14.9,6.67,38.2,
XP_010042699.1,3.04,2,-14.8,6.18,23.8,
XP_010043679.1,3.49,4,-14.7,5.29,27.3,
XP_010031259.1,3.62,5,-14.6,6.55,42,
XP_010030624.1:reversed,3.69,3,-14.5,7.05,68.4,
XP_010032130.1,3.37,2,-14.4,6.43,47.8,
XP_018722607.1,3.58,4,-14.1,6.5,23.9,
XP_010037093.1,3.36,3,-14,9.9,23.1,
XP_010067346.1,3.3,3,-14,5.25,56.7,
XP_010055874.1,3.18,2,-14,6.16,38,
XP_010034959.1,3.51,3,-13.8,9.67,28.5,
KCW57488.1,3.33,2,-13.7,6.45,28.5,no description available
XP_018716398.1,2.99,2,-13.7,6.81,23.8,
NP_001289660.1,3.05,2,-13.5,4.93,49.6,
XP_010056528.1,3.54,3,-13.4,5.14,371.5,
XP_010060049.1,3.39,2,-13.3,5.8,30.6,
XP_018726917.1,3.28,2,-13.3,8.89,26.8,
XP_010064077.1,3.36,2,-13.3,7.77,41.1,
XP_010067434.1,3.24,2,-13.2,5.43,22.7,
ADO23596.1,3.35,3,-13,5.18,14.6,no description available
XP_010056136.1,3.24,2,-12.9,8.89,43.8,
XP_010038204.1,3.34,3,-12.9,4.6,23,
XP_010025286.1,3.4,2,-12.9,9.68,27.2,
XP_010067877.1,3.68,5,-12.8,9.79,42.3,
XP_010044046.1,3.55,3,-12.8,5.25,44.6,
XP_010061330.1,3.55,3,-12.8,9.27,23.4,
XP_010037106.1,3.3,2,-12.6,9.69,25.3,
XP_010060696.1,2.86,2,-12.6,9.52,34.1,
XP_010053520.1,3.52,4,-12.5,7.63,37,
XP_018717674.1,3.38,2,-12.4,9.44,30.1,
XP_010069685.1,3.6,4,-12.3,9.82,14.4,
XP_018718406.1,3.22,3,-12.2,5.61,91.1,
XP_010051873.1,3.41,3,-12.2,8.38,60.4,
XP_010045486.1,3.08,2,-12.1,6.83,22.9,
XP_010031321.1,3.09,2,-12,6.18,46.4,
XP_018733074.1,3.47,3,-11.9,5.01,53.1,
XP_010069460.1,3.05,2,-11.7,4.21,17,
XP_010032296.1,3,1,-11.7,8.76,21.4,
XP_010035969.1,3.35,2,-11.6,5.18,89.5,
XP_010047845.1,3.26,3,-11.5,4.93,80.2,
KCW45193.1,3.53,3,-11.5,6.83,16.8,no description available
XP_010034921.1,3.47,3,-11.5,9.52,22.1,
XP_010063308.1,3.47,3,-11.4,8.99,24.6,
XP_010037503.1,3.25,2,-11.3,6.12,53.3,
XP_010030127.1,3.85,5,-11.3,4.4,15.5,
XP_010048379.1,3.29,2,-11.3,8.78,35.1,
XP_010056113.1,3.15,2,-11.3,6.3,177.8,
XP_010069076.1,3.1,2,-11.2,8.44,48.5,
XP_010037338.1,3.28,2,-11.1,8.74,35.6,
XP_010045007.1,3.18,2,-11,5.44,95.8,
XP_010048387.1,3.3,2,-11,4.32,23.9,
XP_010060093.1,3.43,2,-10.8,6.78,46.4,
XP_010063743.1,3.25,2,-10.8,9.01,15.2,
XP_010024921.1,2.93,2,-10.8,5.54,24,
XP_010065863.1,3.36,2,-10.7,5.04,52.6,
XP_010028833.1,3.07,2,-10.7,4.79,57,
XP_010024004.1,3.38,3,-10.6,4.43,25.3,
XP_018716526.1,3.1,2,-10.6,6.15,49.6,
XP_010028184.1,3.54,3,-10.6,8.27,58.2,
XP_010044923.1,3.17,2,-10.5,6.66,75.3,
XP_010049454.2,3.17,2,-10.2,5.64,94.2,
XP_010035773.1,3.33,3,-10.2,9.82,41.4,
XP_018724307.1,3.39,2,-10.2,9.21,44.8,
XP_018729866.1,3.44,3,-10,7.67,64.9,
XP_010048942.1,3.1,2,-10,8.72,35.6,
XP_010067611.1,3.42,2,-10,7.83,25.6,
XP_010055036.2,3.35,3,-9.9,7.24,98,
XP_010032251.1,3.26,3,-9.9,6.86,35.2,
ADO23638.1,3.39,3,-9.9,6.67,9,no description available
XP_010063760.1,3.18,2,-9.9,5.5,25.7,
XP_010053907.1,3.39,3,-9.9,6.29,80.2,
XP_018727805.1,3.54,3,-9.9,7.36,26.2,
XP_010035237.1,3.13,2,-9.8,4.99,33.3,
XP_010024762.1,3.33,3,-9.6,5.56,17.6,
XP_010041232.1,3.69,5,-9.5,8.45,20.5,
XP_010060582.1,3.46,3,-9.5,4.86,32.1,
XP_010069114.1,3.56,3,-9.3,5.74,45.2,
XP_010057273.1,3.29,2,-9.2,5.69,82.5,
XP_010064085.1,3.33,2,-9.2,5.82,42.2,
XP_010053041.1,3.26,2,-9.2,9.77,24.1,
XP_018732057.1,3.44,3,-9.2,8.78,71.4,
XP_018721153.1,3.66,3,-9.2,6.25,69.2,
XP_010053434.1,2.98,1,-9.2,5.95,31.2,
XP_010062166.2,3.29,2,-9.1,6.15,80.8,
XP_010030201.1,3.1,2,-9.1,6.32,47.5,
XP_018730768.1,3.43,2,-8.9,6.18,71.5,
XP_010066634.1,3.74,6,-8.9,5.83,70.9,
KCW44847.1,3.18,2,-8.9,6.02,12.8,
XP_018728936.1,3.05,2,-8.9,4.95,31.6,
XP_010031829.1,3.55,3,-8.9,8.25,39.4,
XP_010033848.1,3.28,2,-8.8,9.28,35.8,
XP_010028398.1,2.88,2,-8.7,5.74,93.5,
NP_001289663.1,3.21,2,-8.7,5.78,51.9,
XP_010058101.1,3.25,2,-8.7,9.27,33.9,
XP_010028936.1,3.13,2,-8.6,5.81,114.4,
XP_010041934.1,3.41,3,-8.6,5.22,70.5,
XP_010024739.1,3.43,3,-8.5,5.39,17.7,
XP_010027844.1,3.15,2,-8.3,5.43,20.4,
XP_010065820.1,3.34,2,-8.3,5.1,34.8,
XP_010033863.1,3.26,2,-8.1,9.95,15,
XP_010049129.1,2.81,1,-8.1,4.49,18.8,
XP_010047881.1,3.54,3,-8,8.78,30.6,
XP_010062800.1,3.44,2,-8,8.38,43.2,
XP_010037271.1,3.08,2,-8,9.82,13.3,
XP_010024432.1,3.19,2,-8,5.28,26,
XP_010025934.1,3.25,1,-8,4.33,21.2,
XP_010065601.1,3.2,2,-8,6.39,26.1,
XP_010058591.1,3.43,2,-7.9,8.04,91.2,
XP_018726677.1,2.88,1,-7.9,8.92,50.6,
XP_010057882.1,2.82,1,-7.9,5.37,36.2,
XP_010040844.1,3.25,2,-7.9,5.27,53,
XP_010069596.1,3.47,3,-7.9,4.65,16.5,
XP_010048107.1,3.33,2,-7.8,7.2,44.6,
KCW44990.1,3.08,2,-7.8,7.99,45.2,
XP_018729628.1,3.34,2,-7.6,5.21,23.3,
XP_010059707.1,3.21,2,-7.6,5.57,34.8,
XP_018721168.1,2.79,1,-7.5,9.18,67.1,
XP_018716841.1,3.46,2,-7.5,8.84,52,
XP_010063935.1,3.4,3,-7.5,5.82,78.7,
XP_010043555.1,3.34,2,-7.4,8,54.1,
XP_018729627.1,3.18,2,-7.4,9.49,30.4,
XP_010053188.1:reversed,3.22,2,-7.3,9.2,70,
XP_010049662.1,3.07,1,-7.3,7.77,38.5,
XP_010035363.1,3.06,1,-7.3,5.57,44.4,
XP_018723538.1,2.8,1,-7.2,9.24,56.2,
XP_010060342.1,3.25,2,-7.2,5.13,42.8,
XP_010058812.1,3.21,2,-7.2,5.8,47.4,
XP_010038191.1,3.35,2,-7.1,8.31,31.8,
XP_010041664.2:reversed,3.35,2,-7.1,6.69,112.5,
XP_010034168.1,3.04,2,-7.1,6.46,47,
XP_018729774.1,3.19,2,-7.1,9.16,27.3,
XP_010052116.1,3.33,1,-7,4.32,70.9,
XP_010047838.1,3.05,1,-7,9.52,23.3,
XP_010033612.1,2.64,1,-6.9,9.47,47,
XP_010069263.2,2.93,1,-6.9,4.51,54.4,
XP_018717610.1,3.43,2,-6.8,5.67,124.2,
XP_010049647.1,3.3,2,-6.8,6.97,40,
XP_010052795.1,2.95,1,-6.8,5.61,18,
XP_010063674.1,3.31,2,-6.7,5.36,68.7,
XP_010030053.1,3.5,4,-6.7,5.95,27.6,
XP_010033484.1,3.11,2,-6.7,5.52,57.8,
XP_010047752.1,2.98,1,-6.6,8.34,77.1,
XP_010036076.1,3.12,2,-6.6,6.9,56.1,
XP_010034848.1:reversed,3.55,3,-6.6,5.4,109.8,
KCW53142.1:reversed,3.6,2,-6.5,4.77,43.9,
XP_010032852.1,2.73,1,-6.5,5.47,37.6,
ADO23590.1,3.19,2,-6.5,6.58,82.4,no description available
XP_010049597.1,3.17,2,-6.5,5.81,54.5,
XP_010062244.1,3.26,2,-6.5,7.21,36,
XP_010032227.1,3.07,2,-6.5,9.15,49.3,
XP_010030466.1,3.3,2,-6.5,5.5,27.6,
XP_010037221.1,3.27,2,-6.4,10.39,16.1,
XP_010053061.1,2.9,1,-6.4,8.92,57.2,
XP_010070179.1:reversed,3.14,2,-6.4,6.86,93.9,
XP_018727996.1,2.94,1,-6.3,8.41,84.4,
XP_010062799.1,3.21,2,-6.3,8.53,36,
XP_018727790.1,2.73,1,-6.3,5.01,41.1,
XP_010051514.1,2.96,1,-6.3,8.4,34.8,
XP_010031998.1,3.37,2,-6.2,7.63,30.5,
XP_010032621.1,3.21,2,-6.2,9.15,58.4,
XP_018725739.1,3.16,2,-6.2,8.25,71,
XP_010043251.1,2.87,1,-6.1,4.89,19.6,
XP_010052366.1,3.37,2,-6.1,8.79,40.5,
XP_018724223.1:reversed,3.35,2,-6.1,7.16,45.5,
XP_010035770.1,2.94,1,-6.1,4.96,21.5,
XP_010053995.1:reversed,3.49,2,-6,5.95,50.9,
XP_018726735.1,3.36,2,-6,8.06,241.4,
XP_010047057.1:reversed,3.35,2,-6,7.3,104.7,
XP_010029252.2:reversed,3.48,2,-6,8.88,138,
XP_010066294.1,3.17,2,-6,5.04,54.4,
XP_010062551.1,2.78,1,-6,5.72,54.6,
XP_010064169.2:reversed,3.29,2,-5.9,7.93,88.8,
XP_010044267.1,3.07,1,-5.8,4.76,42,
XP_010062123.1,3.08,1,-5.7,6.1,37.2,
XP_010047111.1,3.53,2,-5.7,5.6,17.5,
XP_018718273.1,2.57,1,-5.7,6.46,54.5,
XP_010066465.1,2.88,1,-5.6,6.32,80.6,
XP_010027491.1,2.64,1,-5.6,5.64,35.8,
XP_010067614.1,3.08,1,-5.6,5.22,23.2,
XP_010046497.1,2.77,1,-5.5,6.64,108.3,
XP_010044646.1,2.61,1,-5.5,6.88,59,
XP_010027708.1,3.22,1,-5.3,6.36,51.8,
XP_010066019.1,3.13,1,-5.3,9.51,46.3,
XP_010063471.1,3.15,2,-5.1,5.66,30.8,
XP_010047378.1,3.01,1,-5.1,8.71,39.6,
XP_018731486.1,3.06,1,-5,5.84,73.6,
XP_010054088.1,2.94,1,-4.9,6.48,62.1,
XP_010031496.1,2.99,1,-4.7,8.12,43.3,
XP_018718157.1,3.23,1,-4.7,5.42,34.6,
XP_010047663.1,3.78,6,-4.7,4.63,14.1,
XP_010025126.1,3.41,2,-4.7,10.28,14.9,
XP_010033466.1,3.04,1,-4.6,5.68,53.9,
XP_018717463.1,2.87,1,-4.6,4.79,45.6,
XP_010062249.1,3.06,1,-4.6,4.61,19.5,
XP_010035489.1,2.9,1,-4.6,6.23,50.3,
XP_018719682.1,2.89,1,-4.5,5.15,93.7,
XP_010029011.1,3.09,1,-4.5,5.25,24.4,
XP_010056206.1,2.83,1,-4.5,9.34,56.9,
XP_010036201.1,2.47,1,-4.5,8.23,28.1,
XP_018716037.1,2.85,1,-4.5,9.02,30.2,
XP_010028818.1,2.7,1,-4.5,5.11,38.1,
XP_010055462.1,2.87,1,-4.5,5.16,38.1,
XP_010036199.1,2.97,1,-4.4,8.64,28,
XP_010041423.1,2.94,1,-4.4,5.5,40.8,
XP_010031373.1,3.34,3,-4.4,6.39,34.5,
XP_010041573.2,3.28,3,-4.4,5.89,51.3,
XP_018720369.1:reversed,2.98,1,-4.3,9,185.3,
XP_010055088.1,3.05,1,-4.3,8.91,27.6,
XP_010048953.1,2.99,1,-4.3,6.5,12,
XP_010069812.1,3.08,1,-4.3,4.81,93.7,
XP_010053418.1,3.07,1,-4.3,5.15,52.4,
XP_010048664.1,2.94,1,-4.3,9.92,19.9,
XP_010036585.1,2.69,1,-4.2,5.24,16.2,
XP_010036197.1,2.83,1,-4.2,8.84,27.8,
XP_010036279.1,3.02,1,-4.2,5.24,37.3,
XP_010026954.1,2.58,1,-4.1,4.69,40.2,
XP_010048945.1,3.2,2,-4.1,8.81,35.8,
XP_010055889.1,3.05,1,-4,4.83,30.5,
XP_010055249.1,3.13,1,-3.9,6.33,42.4,
XP_018715409.1,3,1,-3.9,6.21,69.5,
XP_018724087.1,3.09,1,-3.9,4.96,43.5,
XP_010040207.1,3.13,1,-3.9,4.85,37.5,
XP_018723276.1,3.01,1,-3.9,9.64,24.7,
XP_010062711.1,3.12,2,-3.8,9.49,14.3,
XP_010069607.1,3.02,1,-3.8,10.68,15.6,
XP_010067725.1,3.05,1,-3.8,9.27,47,
XP_010037982.1,3.31,1,-3.7,6.81,34.3,
XP_010023548.1,3.29,3,-3.7,5.23,64.1,
XP_018729796.1,2.49,1,-3.7,6.03,36.8,
XP_010057889.1,2.88,1,-3.7,6,32.9,
XP_010060595.1,3.16,2,-3.6,8.83,37.5,
XP_018715053.1,3.02,1,-3.6,9.74,29.2,
XP_018726066.1,2.75,1,-3.6,9.34,27.6,
XP_010024748.1,2.59,1,-3.5,5.82,17.7,
XP_018732462.1,3.09,1,-3.5,9.52,21.5,
XP_010049824.1:reversed,3.12,1,-3.5,8.92,46.1,
XP_018731471.1,2.97,1,-3.5,8.86,35.4,
XP_018721056.1,2.8,1,-3.4,5.23,45.7,
XP_010053196.1,2.93,1,-3.4,7.78,28,
ADO23618.1,2.63,1,-3.4,8.89,24.2,no description available
XP_010026912.1,3.01,1,-3.4,6.52,21.2,
XP_010036195.1,3.31,2,-3.4,7.66,27.2,
XP_018728580.1,2.53,1,-3.4,8.8,17.8,
XP_010053832.1,2.49,1,-3.4,9.33,51.6,
XP_010044808.1,3.1,1,-3.4,6.08,28.4,
sp|CAS1_BOVIN|,2.95,1,-3.4,4.98,24.5, Alpha-S1-casein; Bos d 8; Contains: Antioxidant peptide; Flags: Precursor; 
XP_010047316.1:reversed,3.04,1,-3.3,6.16,131.2,
XP_018724571.1,3.01,1,-3.3,6.06,16,
XP_010060660.1,2.88,1,-3.3,6.72,76.4,
XP_010042961.2,2.97,1,-3.2,6.53,29.6,
XP_018726768.1,2.97,1,-3.2,6.22,53.1,
XP_018727191.1,2.92,1,-3.2,5.07,66.4,
